DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
County Attorney               ,3/30/2013,0,88
County Attorney               ,8/3/2013,0,94
County Attorney               ,1/18/2014,0,94
County Attorney               ,5/24/2014,0,93
County Attorney               ,12/5/2015,0,98
Dept of Information Technology,1/19/2013,12,59
Dept of Information Technology,4/27/2013,16,58
Dept of Information Technology,2/1/2014,15,57
Dept of Information Technology,1/17/2015,17,52
Develop Louisville,8/30/2014,26,121
Develop Louisville,12/6/2014,27,114
Develop Louisville,4/11/2015,21,118
Develop Louisville,6/6/2015,23,116
Develop Louisville,7/30/2016,20,116
Develop Louisville,9/10/2016,16,116
Develop Louisville,11/19/2016,18,120
Develop Louisville,8/26/2017,15,113
Econ Growth & Innovation ,3/28/2015,1,27
Econ Growth & Innovation ,7/2/2016,0,25
Econ Growth & Innovation-APCD,5/25/2013,16,64
Econ Growth & Innovation-APCD,7/16/2016,15,50
Econ Growth & Innovation-APCD,11/19/2016,13,50
Econ Growth & Innovation-APCD,5/20/2017,14,51
Emergency Mgt Agency/MetroSafe,8/4/2012,33,197
Emergency Mgt Agency/MetroSafe,9/14/2013,33,184
Emergency Mgt Agency/MetroSafe,5/10/2014,33,196
Emergency Mgt Agency/MetroSafe,1/17/2015,32,194
Emergency Mgt Agency/MetroSafe,1/31/2015,32,195
Emergency Mgt Agency/MetroSafe,6/3/2017,46,180
Fire & Rescue                 ,9/15/2012,71,471
Fire & Rescue                 ,9/14/2013,83,456
Fire & Rescue                 ,9/27/2014,69,480
Fire & Rescue                 ,3/14/2015,79,479
Fire & Rescue                 ,6/20/2015,74,509
Fire & Rescue                 ,10/22/2016,71,462
Fire & Rescue                 ,6/3/2017,63,497
Fire & Rescue                 ,6/17/2017,59,497
Fleet & Facilities,11/26/2011,71,198
Fleet & Facilities,8/4/2012,79,200
Fleet & Facilities,9/14/2013,56,200
Fleet & Facilities,1/17/2015,52,200
Fleet & Facilities,12/17/2016,64,197
Fleet & Facilities,6/3/2017,64,195
Fleet & Facilities,6/17/2017,63,192
Human Relations Commission    ,12/24/2011,3,20
Human Relations Commission    ,10/24/2015,3,19
Human Relations Commission    ,1/30/2016,1,18
Human Resources,3/3/2012,5,31
Human Resources,11/23/2013,1,35
Human Resources,12/7/2013,1,31
Human Resources,7/29/2017,5,45
Internal Auditor              ,2/4/2012,1,7
Internal Auditor              ,5/12/2012,1,8
Internal Auditor              ,9/29/2012,1,7
Internal Auditor              ,3/15/2014,0,5
Internal Auditor              ,10/11/2014,0,7
Internal Auditor              ,7/16/2016,1,7
Internal Auditor              ,7/30/2016,2,7
Internal Auditor              ,9/10/2016,2,7
Kentuckiana Works Foundation,10/27/2012,4,16
Kentuckiana Works Foundation,3/2/2013,7,16
Kentuckiana Works Foundation,5/11/2013,6,17
Kentuckiana Works Foundation,7/1/2017,6,25
Library,12/24/2011,45,298
Library,3/14/2015,36,290
Library,7/18/2015,38,291
Library,10/24/2015,40,280
Library,1/30/2016,44,291
Library,5/21/2016,46,299
Library,10/22/2016,54,295
Louisville Metro Council      ,3/16/2013,9,86
Louisville Metro Council      ,6/8/2013,11,87
Louisville Metro Council      ,2/13/2016,12,80
Louisville Metro Council      ,6/18/2016,15,83
Louisville Metro EMS,1/19/2013,32,241
Louisville Metro EMS,1/14/2017,34,215
Mayor's Office                ,12/10/2011,1,25
Mayor's Office                ,11/24/2012,1,22
Mayor's Office                ,6/21/2014,0,21
Mayor's Office                ,6/4/2016,1,20
Metro Animal Services         ,6/8/2013,15,50
Metro Animal Services         ,6/22/2013,16,49
Metro Animal Services         ,7/20/2013,14,47
Metro Animal Services         ,4/26/2014,19,52
Metro Animal Services         ,10/25/2014,19,59
Metro Animal Services         ,6/18/2016,23,58
Metro Criminal Justice Comm   ,6/22/2013,1,4
Metro Criminal Justice Comm   ,1/18/2014,0,4
Metro Criminal Justice Comm   ,5/24/2014,0,4
Metro Criminal Justice Comm   ,12/5/2015,0,5
Metro Parks & Recreation,10/15/2011,95,377
Metro Parks & Recreation,3/17/2012,80,339
Belle of Louisville           ,8/4/2012,3,69
Belle of Louisville           ,9/14/2013,3,65
Belle of Louisville           ,10/12/2013,4,61
Belle of Louisville           ,12/3/2016,2,32
Belle of Louisville           ,6/3/2017,4,66
Codes & Regulations,3/3/2012,48,133
Codes & Regulations,6/23/2012,45,130
Codes & Regulations,11/23/2013,15,126
Codes & Regulations,7/5/2014,25,121
Codes & Regulations,3/26/2016,23,136
Codes & Regulations,7/15/2017,37,153
Commonwealth Attorney         ,12/10/2011,0,20
Commonwealth Attorney         ,9/28/2013,0,17
Commonwealth Attorney         ,4/9/2016,0,25
Commonwealth Attorney         ,5/7/2016,0,24
Community Services,3/31/2012,106,230
Community Services,11/24/2012,94,243
Community Services,3/15/2014,50,154
Community Services,10/11/2014,48,140
Community Services,6/4/2016,43,125
Coroner                       ,1/5/2013,0,19
Coroner                       ,3/29/2014,0,19
Coroner                       ,3/14/2015,0,18
Coroner                       ,7/18/2015,0,17
Coroner                       ,10/22/2016,0,15
Coroner                       ,3/11/2017,0,14
Corrections                   ,11/10/2012,135,518
Corrections                   ,3/16/2013,134,527
Corrections                   ,8/17/2013,112,536
Corrections                   ,11/9/2013,111,528
Corrections                   ,3/28/2015,120,538
Corrections                   ,2/13/2016,97,530
County Attorney               ,12/20/2014,0,94
County Attorney               ,11/7/2015,0,98
Dept of Information Technology,9/29/2012,13,59
Dept of Information Technology,11/24/2012,16,61
Dept of Information Technology,2/16/2013,10,59
Dept of Information Technology,7/19/2014,16,50
Dept of Information Technology,4/25/2015,11,50
Dept of Information Technology,6/4/2016,10,62
Dept of Information Technology,8/27/2016,11,61
Develop Louisville,4/14/2012,26,89
Develop Louisville,12/19/2015,19,121
Develop Louisville,9/9/2017,18,112
Econ Growth & Innovation ,8/18/2012,6,27
Econ Growth & Innovation ,9/28/2013,0,27
Econ Growth & Innovation ,8/1/2015,0,29
Econ Growth & Innovation ,8/29/2015,0,26
Econ Growth & Innovation ,2/25/2017,0,23
Econ Growth & Innovation-APCD,5/11/2013,16,63
Econ Growth & Innovation-APCD,11/8/2014,15,56
Emergency Mgt Agency/MetroSafe,9/15/2012,36,197
Emergency Mgt Agency/MetroSafe,7/19/2014,32,195
Emergency Mgt Agency/MetroSafe,9/27/2014,29,194
Emergency Mgt Agency/MetroSafe,6/20/2015,38,191
Emergency Mgt Agency/MetroSafe,6/17/2017,43,178
Fire & Rescue                 ,3/17/2012,50,483
Fire & Rescue                 ,8/4/2012,61,481
Fire & Rescue                 ,4/26/2014,62,489
Fire & Rescue                 ,8/2/2014,73,490
Fire & Rescue                 ,1/3/2015,69,479
Fire & Rescue                 ,12/3/2016,78,507
Fleet & Facilities,3/17/2012,82,198
Fleet & Facilities,7/5/2014,54,205
Fleet & Facilities,1/3/2015,49,200
Human Relations Commission    ,7/7/2012,4,19
Human Relations Commission    ,12/21/2013,2,16
Human Relations Commission    ,6/21/2014,2,20
Human Resources,3/16/2013,3,31
Human Resources,3/28/2015,1,39
Human Resources,5/6/2017,3,39
Internal Auditor              ,9/13/2014,0,7
Internal Auditor              ,1/14/2017,1,7
Kentuckiana Works Foundation,2/4/2012,5,15
Kentuckiana Works Foundation,5/12/2012,5,17
Kentuckiana Works Foundation,7/16/2016,1,23
Kentuckiana Works Foundation,7/30/2016,1,23
Kentuckiana Works Foundation,9/24/2016,2,24
Library,10/26/2013,46,279
Louisville Metro Council      ,10/15/2011,14,95
Louisville Metro Council      ,10/29/2011,12,92
Louisville Metro Council      ,2/14/2015,13,81
Louisville Metro Council      ,4/22/2017,8,78
Louisville Metro EMS,12/10/2011,31,240
Louisville Metro EMS,3/31/2012,25,237
Louisville Metro EMS,11/24/2012,33,232
Louisville Metro EMS,3/15/2014,12,238
Louisville Metro EMS,11/22/2014,13,247
Louisville Metro EMS,6/4/2016,29,244
Mayor's Office                ,2/2/2013,2,20
Mayor's Office                ,3/2/2013,2,20
Mayor's Office                ,12/31/2016,2,19
Mayor's Office                ,7/1/2017,2,19
Metro Animal Services         ,10/1/2011,20,46
Metro Animal Services         ,1/5/2013,16,49
Metro Animal Services         ,7/4/2015,18,57
Metro Animal Services         ,1/2/2016,20,57
Metro Animal Services         ,10/22/2016,14,57
Metro Criminal Justice Comm   ,8/18/2012,1,4
Metro Criminal Justice Comm   ,8/1/2015,0,4
Metro Criminal Justice Comm   ,2/25/2017,1,4
Metro Parks & Recreation,6/8/2013,83,444
Metro Parks & Recreation,4/26/2014,85,352
Metro Parks & Recreation,8/2/2014,84,525
Metro Parks & Recreation,1/31/2015,75,338
Metro Parks & Recreation,6/6/2015,82,434
Metro Police,10/1/2011,142,1544
Metro Police,1/5/2013,117,1528
Metro Police,3/14/2015,126,1570
Metro Police,6/20/2015,136,1580
Metro Police,7/4/2015,137,1579
Metro Police,7/18/2015,134,1577
Metro Police,1/2/2016,122,1549
Metro Police,10/22/2016,153,1573
Office of Performance Improvmt,1/19/2013,0,5
Office of Performance Improvmt,3/16/2013,0,6
Office of Performance Improvmt,3/28/2015,2,11
Office of Performance Improvmt,5/9/2015,2,12
Office of Performance Improvmt,2/13/2016,0,11
Office of Performance Improvmt,3/25/2017,1,13
Belle of Louisville           ,1/21/2012,4,25
Belle of Louisville           ,11/24/2012,3,30
Belle of Louisville           ,1/4/2014,3,27
Belle of Louisville           ,3/28/2015,4,33
Belle of Louisville           ,12/17/2016,2,28
Codes & Regulations,10/29/2011,46,141
Codes & Regulations,9/1/2012,39,133
Codes & Regulations,12/8/2012,31,127
Codes & Regulations,9/9/2017,37,153
Commonwealth Attorney         ,7/19/2014,0,19
Commonwealth Attorney         ,8/13/2016,0,24
Commonwealth Attorney         ,9/10/2016,0,24
Commonwealth Attorney         ,5/20/2017,0,20
Community Services,10/15/2011,109,229
Community Services,10/29/2011,111,229
Community Services,12/8/2012,92,237
Community Services,5/11/2013,93,224
Community Services,8/31/2013,75,199
Community Services,3/1/2014,47,156
Community Services,8/30/2014,46,135
Community Services,6/6/2015,44,142
Community Services,9/9/2017,52,125
Coroner                       ,10/13/2012,0,19
Coroner                       ,4/13/2013,0,19
Coroner                       ,6/21/2014,0,19
Coroner                       ,7/5/2014,0,19
Coroner                       ,7/2/2016,0,14
Coroner                       ,8/13/2016,0,14
Coroner                       ,9/10/2016,0,14
Corrections                   ,1/7/2012,162,534
Corrections                   ,1/19/2013,142,536
Corrections                   ,10/12/2013,107,533
Corrections                   ,1/2/2016,100,528
Corrections                   ,3/26/2016,104,546
Corrections                   ,11/19/2016,151,544
Corrections                   ,8/26/2017,190,538
County Attorney               ,11/26/2011,0,94
County Attorney               ,4/27/2013,0,96
County Attorney               ,9/12/2015,0,94
Dept of Information Technology,12/10/2011,11,57
Dept of Information Technology,1/5/2013,14,59
Dept of Information Technology,9/28/2013,15,60
Develop Louisville,11/24/2012,25,89
Develop Louisville,12/7/2013,18,104
Develop Louisville,4/26/2014,26,108
Develop Louisville,5/10/2014,25,101
Develop Louisville,12/17/2016,19,120
Develop Louisville,6/3/2017,16,111
Develop Louisville,6/17/2017,15,119
Econ Growth & Innovation ,3/30/2013,2,27
Econ Growth & Innovation ,5/24/2014,1,26
Econ Growth & Innovation ,12/19/2015,0,24
Econ Growth & Innovation-APCD,10/29/2011,21,65
Econ Growth & Innovation-APCD,3/16/2013,17,64
Econ Growth & Innovation-APCD,9/14/2013,16,63
Econ Growth & Innovation-APCD,11/21/2015,14,53
Econ Growth & Innovation-APCD,6/4/2016,15,52
Emergency Mgt Agency/MetroSafe,8/2/2014,32,194
Emergency Mgt Agency/MetroSafe,8/30/2014,33,193
Emergency Mgt Agency/MetroSafe,6/6/2015,37,192
Emergency Mgt Agency/MetroSafe,8/1/2015,44,193
Emergency Mgt Agency/MetroSafe,8/15/2015,40,190
Emergency Mgt Agency/MetroSafe,10/8/2016,34,183
Fire & Rescue                 ,4/12/2014,63,491
Fire & Rescue                 ,9/26/2015,79,490
Fire & Rescue                 ,10/10/2015,83,490
Fire & Rescue                 ,11/7/2015,81,488
Fire & Rescue                 ,12/31/2016,79,506
Fire & Rescue                 ,4/8/2017,61,499
Fleet & Facilities,5/11/2013,61,204
Fleet & Facilities,8/31/2013,59,200
Fleet & Facilities,3/1/2014,62,205
Fleet & Facilities,8/2/2014,56,201
Fleet & Facilities,8/30/2014,50,199
Fleet & Facilities,6/6/2015,59,202
Fleet & Facilities,8/15/2015,58,200
Fleet & Facilities,12/5/2015,65,203
Human Relations Commission    ,10/1/2011,4,20
Human Relations Commission    ,8/27/2016,3,19
Human Resources,10/1/2011,4,34
Human Resources,1/21/2012,5,36
Human Resources,4/9/2016,6,37
Internal Auditor              ,10/15/2011,1,6
Internal Auditor              ,10/29/2011,1,6
Internal Auditor              ,9/15/2012,1,7
Internal Auditor              ,9/9/2017,0,7
Kentuckiana Works Foundation,2/18/2012,5,15
Kentuckiana Works Foundation,11/10/2012,4,16
Kentuckiana Works Foundation,12/22/2012,5,16
Kentuckiana Works Foundation,8/17/2013,5,18
Kentuckiana Works Foundation,8/16/2014,4,18
Kentuckiana Works Foundation,6/18/2016,2,24
Library,2/4/2012,48,298
Library,9/29/2012,53,285
Library,5/11/2013,54,295
Library,8/31/2013,49,280
Library,8/30/2014,35,281
Louisville Metro Council      ,5/12/2012,10,87
Louisville Metro Council      ,10/13/2012,11,85
Louisville Metro Council      ,5/25/2013,11,86
Louisville Metro Council      ,3/15/2014,15,82
Louisville Metro Council      ,7/18/2015,9,82
Louisville Metro Council      ,8/1/2015,7,83
Louisville Metro Council      ,8/15/2015,7,83
Louisville Metro Council      ,10/8/2016,15,79
Louisville Metro EMS,12/8/2012,34,236
Louisville Metro EMS,11/7/2015,17,243
Louisville Metro EMS,9/9/2017,44,221
Mayor's Office                ,2/18/2012,1,25
Mayor's Office                ,12/22/2012,2,21
Mayor's Office                ,1/5/2013,2,21
Mayor's Office                ,7/19/2014,1,21
Mayor's Office                ,5/20/2017,2,19
Mayor's Office                ,6/3/2017,2,18
Metro Animal Services         ,5/11/2013,15,50
Metro Animal Services         ,8/31/2013,16,48
Metro Animal Services         ,3/1/2014,18,51
Metro Animal Services         ,6/20/2015,18,58
Metro Criminal Justice Comm   ,12/10/2011,1,5
Metro Criminal Justice Comm   ,9/28/2013,0,4
Metro Criminal Justice Comm   ,9/27/2014,0,4
Metro Criminal Justice Comm   ,3/11/2017,1,4
Metro Police,10/11/2014,117,1569
Metro Police,1/30/2016,130,1539
Metro Police,3/11/2017,173,1602
Office of Performance Improvmt,3/31/2012,0,4
Office of Performance Improvmt,3/2/2013,0,5
Office of Performance Improvmt,10/10/2015,0,13
OMB ,3/17/2012,49,175
OMB ,6/18/2016,40,202
Other Officials               ,10/1/2011,0,3
Other Officials               ,12/10/2011,0,3
Other Officials               ,2/4/2012,0,3
Other Officials               ,10/26/2013,0,3
Other Officials               ,2/25/2017,0,3
Parking Authority of River Cty,7/16/2016,5,30
Parking Authority of River Cty,7/30/2016,5,30
Parking Authority of River Cty,9/24/2016,5,31
Parking Authority of River Cty,2/25/2017,3,29
Parking Authority of River Cty,6/3/2017,3,28
Public Health & Wellness,1/5/2013,75,252
Public Health & Wellness,3/14/2015,64,203
Public Health & Wellness,7/4/2015,59,212
Public Health & Wellness,7/18/2015,58,209
Public Health & Wellness,6/17/2017,51,227
PW&A ,6/23/2012,161,432
PW&A ,3/30/2013,142,436
PW&A ,4/22/2017,136,462
PW&A ,7/1/2017,150,460
Waterfront Development Corp,7/5/2014,4,23
Waterfront Development Corp,3/14/2015,8,17
Waterfront Development Corp,1/16/2016,7,17
Waterfront Development Corp,6/17/2017,7,23
Youth Detention Services      ,11/9/2013,17,124
Zoo,1/19/2013,25,136
Zoo,9/14/2013,20,261
Zoo,2/15/2014,21,140
Zoo,9/13/2014,13,247
Zoo,12/20/2014,16,149
Zoo,1/14/2017,17,147
Zoo,1/28/2017,16,147
Zoo,5/6/2017,20,250
Office of Performance Improvmt,8/17/2013,1,7
Office of Performance Improvmt,6/7/2014,0,12
Office of Performance Improvmt,7/2/2016,0,15
OMB ,4/13/2013,52,177
OMB ,11/9/2013,40,177
Other Officials               ,10/29/2011,0,3
Other Officials               ,9/29/2012,0,3
Other Officials               ,11/24/2012,0,3
Other Officials               ,6/8/2013,0,3
Other Officials               ,2/14/2015,0,3
Other Officials               ,4/25/2015,0,3
Other Officials               ,6/4/2016,0,3
Other Officials               ,8/27/2016,0,3
Other Officials               ,7/15/2017,0,3
Parking Authority of River Cty,8/18/2012,4,22
Parking Authority of River Cty,5/25/2013,4,25
Parking Authority of River Cty,12/7/2013,3,26
Parking Authority of River Cty,9/12/2015,3,26
Parking Authority of River Cty,1/16/2016,3,27
Public Health & Wellness,8/18/2012,95,254
Public Health & Wellness,10/13/2012,88,254
Public Health & Wellness,8/29/2015,57,204
Public Health & Wellness,10/24/2015,51,201
PW&A ,9/28/2013,127,428
PW&A ,3/15/2014,124,430
PW&A ,9/27/2014,128,440
PW&A ,9/10/2016,149,457
PW&A ,12/31/2016,131,460
Waterfront Development Corp,11/10/2012,3,17
Waterfront Development Corp,8/17/2013,4,24
Waterfront Development Corp,11/9/2013,4,17
Waterfront Development Corp,10/24/2015,7,20
Waterfront Development Corp,5/21/2016,6,21
Waterfront Development Corp,5/20/2017,8,22
Youth Detention Services      ,4/27/2013,23,121
Youth Detention Services      ,6/7/2014,16,121
Youth Detention Services      ,7/2/2016,28,113
Zoo,1/7/2012,23,134
Zoo,3/31/2012,25,223
Zoo,3/2/2013,23,139
Zoo,3/29/2014,20,236
Zoo,5/9/2015,21,259
Zoo,1/2/2016,24,155
Zoo,4/23/2016,21,247
Zoo,7/1/2017,18,258
Other Officials               ,11/5/2016,0,3
Other Officials               ,5/6/2017,0,3
Parking Authority of River Cty,1/21/2012,4,21
Parking Authority of River Cty,12/6/2014,6,27
Parking Authority of River Cty,3/28/2015,3,26
Parking Authority of River Cty,7/2/2016,6,30
Parking Authority of River Cty,8/13/2016,5,30
Public Health & Wellness,5/26/2012,104,255
Public Health & Wellness,7/7/2012,102,263
Public Health & Wellness,1/30/2016,43,202
PW&A ,10/15/2011,165,438
PW&A ,10/29/2011,167,441
PW&A ,7/6/2013,130,430
PW&A ,8/2/2014,125,438
PW&A ,8/30/2014,132,437
PW&A ,6/6/2015,121,444
PW&A ,6/20/2015,120,446
PW&A ,8/15/2015,121,453
PW&A ,9/9/2017,162,459
Waterfront Development Corp,7/21/2012,5,24
Waterfront Development Corp,3/25/2017,8,17
Youth Detention Services      ,6/9/2012,22,121
Youth Detention Services      ,9/1/2012,16,122
Youth Detention Services      ,1/5/2013,20,121
Youth Detention Services      ,12/21/2013,23,123
Youth Detention Services      ,1/18/2014,23,123
Youth Detention Services      ,12/5/2015,22,120
Youth Detention Services      ,1/28/2017,32,123
Zoo,7/7/2012,25,253
Zoo,1/4/2014,15,139
Zoo,8/16/2014,14,255
Metro Police,8/29/2015,136,1554
Metro Police,9/9/2017,188,1589
Office of Performance Improvmt,4/14/2012,0,4
Office of Performance Improvmt,8/31/2013,1,7
OMB ,4/27/2013,53,176
OMB ,5/11/2013,53,176
OMB ,3/1/2014,38,182
OMB ,6/7/2014,39,183
OMB ,5/6/2017,46,199
Other Officials               ,9/15/2012,0,3
Other Officials               ,12/8/2012,0,3
Other Officials               ,7/19/2014,0,3
Other Officials               ,9/27/2014,0,3
Other Officials               ,9/26/2015,0,3
Other Officials               ,10/24/2015,0,3
Other Officials               ,5/21/2016,0,3
Other Officials               ,6/17/2017,0,3
Parking Authority of River Cty,11/26/2011,3,21
Parking Authority of River Cty,5/26/2012,3,21
Parking Authority of River Cty,2/2/2013,5,25
Parking Authority of River Cty,8/3/2013,3,25
Parking Authority of River Cty,6/17/2017,3,28
Public Health & Wellness,2/15/2014,61,231
Public Health & Wellness,10/25/2014,64,209
Public Health & Wellness,1/16/2016,44,201
Public Health & Wellness,11/19/2016,52,214
Public Health & Wellness,2/25/2017,57,212
PW&A ,3/3/2012,170,446
PW&A ,4/12/2014,125,426
PW&A ,3/26/2016,146,451
PW&A ,1/14/2017,131,460
PW&A ,4/8/2017,135,461
Waterfront Development Corp,1/5/2013,3,16
Waterfront Development Corp,9/14/2013,5,21
Waterfront Development Corp,2/15/2014,5,17
Waterfront Development Corp,12/20/2014,7,17
Waterfront Development Corp,7/4/2015,7,23
Waterfront Development Corp,1/28/2017,6,17
Waterfront Development Corp,2/25/2017,7,17
Waterfront Development Corp,6/3/2017,7,23
Youth Detention Services      ,5/9/2015,17,110
Youth Detention Services      ,12/17/2016,29,122
Youth Detention Services      ,12/31/2016,31,120
Youth Detention Services      ,3/25/2017,25,118
Zoo,3/16/2013,20,251
Zoo,8/30/2014,13,242
Zoo,10/25/2014,14,283
Zoo,6/6/2015,23,270
Zoo,1/16/2016,23,142
Zoo,11/19/2016,18,192
Metro Parks & Recreation,3/29/2014,92,333
Metro Parks & Recreation,9/10/2016,78,397
Metro Parks & Recreation,1/28/2017,69,349
Metro Parks & Recreation,4/22/2017,72,373
Metro Police,1/7/2012,128,1527
Metro Police,1/21/2012,128,1515
Metro Police,3/28/2015,129,1569
Metro Police,12/3/2016,163,1560
Metro Police,8/12/2017,193,1613
Office of Performance Improvmt,6/9/2012,0,4
Office of Performance Improvmt,9/1/2012,0,4
Office of Performance Improvmt,3/30/2013,0,7
Office of Performance Improvmt,4/12/2014,1,8
Office of Performance Improvmt,9/26/2015,0,13
Office of Performance Improvmt,3/26/2016,0,11
Office of Performance Improvmt,4/8/2017,1,13
Office of Performance Improvmt,7/1/2017,1,17
OMB ,6/23/2012,46,171
OMB ,10/13/2012,43,171
OMB ,3/30/2013,52,178
OMB ,3/15/2014,41,181
OMB ,12/19/2015,44,196
OMB ,5/7/2016,43,196
OMB ,9/10/2016,41,199
OMB ,4/22/2017,44,199
Other Officials               ,5/26/2012,0,3
Other Officials               ,2/2/2013,0,3
Other Officials               ,8/3/2013,0,3
Other Officials               ,11/22/2014,0,3
Other Officials               ,2/28/2015,0,3
Other Officials               ,8/15/2015,0,3
Other Officials               ,10/8/2016,0,3
Parking Authority of River Cty,9/27/2014,5,27
Parking Authority of River Cty,3/14/2015,4,26
Parking Authority of River Cty,7/18/2015,2,27
Parking Authority of River Cty,10/24/2015,2,26
Parking Authority of River Cty,5/21/2016,7,30
Parking Authority of River Cty,3/25/2017,4,29
Public Health & Wellness,4/13/2013,68,248
Public Health & Wellness,8/2/2014,60,225
Public Health & Wellness,2/28/2015,65,204
Public Health & Wellness,6/6/2015,56,209
Public Health & Wellness,8/15/2015,58,210
Public Health & Wellness,6/4/2016,46,217
PW&A ,3/17/2012,170,444
PW&A ,8/16/2014,128,439
Waterfront Development Corp,4/13/2013,2,17
Waterfront Development Corp,6/21/2014,4,24
Waterfront Development Corp,11/8/2014,7,19
Waterfront Development Corp,2/11/2017,6,17
Youth Detention Services      ,2/18/2012,19,117
Youth Detention Services      ,12/22/2012,18,122
Youth Detention Services      ,7/19/2014,18,117
Youth Detention Services      ,5/20/2017,30,118
Zoo,3/3/2012,25,134
Zoo,2/27/2016,20,146
Zoo,7/29/2017,22,257
Metro Parks & Recreation,10/22/2016,75,372
Metro Police,11/12/2011,136,1541
Metro Police,3/16/2013,120,1540
Metro Police,5/9/2015,135,1558
Metro Police,2/13/2016,125,1570
Office of Performance Improvmt,9/13/2014,0,10
Office of Performance Improvmt,11/8/2014,2,11
Office of Performance Improvmt,10/22/2016,1,13
Office of Performance Improvmt,1/14/2017,1,13
Office of Performance Improvmt,2/11/2017,1,13
OMB ,11/8/2014,45,180
OMB ,3/14/2015,42,186
OMB ,9/12/2015,41,195
OMB ,5/21/2016,39,198
OMB ,6/3/2017,45,197
OMB ,6/17/2017,48,197
Other Officials               ,7/20/2013,0,3
Other Officials               ,9/14/2013,0,3
Other Officials               ,12/17/2016,0,3
Parking Authority of River Cty,1/5/2013,4,24
Parking Authority of River Cty,7/19/2014,4,26
Parking Authority of River Cty,5/7/2016,7,30
Public Health & Wellness,2/4/2012,94,255
Public Health & Wellness,5/12/2012,106,255
Public Health & Wellness,6/23/2012,106,262
Public Health & Wellness,4/26/2014,64,233
Public Health & Wellness,5/10/2014,64,231
PW&A ,2/18/2012,170,444
PW&A ,5/24/2014,125,429
PW&A ,6/18/2016,141,456
Waterfront Development Corp,2/18/2012,2,17
Waterfront Development Corp,9/1/2012,5,23
Waterfront Development Corp,12/22/2012,3,16
Waterfront Development Corp,9/26/2015,8,20
Waterfront Development Corp,4/22/2017,7,21
Youth Detention Services      ,7/21/2012,21,123
Youth Detention Services      ,8/16/2014,16,116
Youth Detention Services      ,11/8/2014,15,116
Youth Detention Services      ,10/24/2015,22,118
Youth Detention Services      ,5/21/2016,30,112
Youth Detention Services      ,8/13/2016,29,120
Youth Detention Services      ,2/11/2017,28,117
Zoo,7/15/2017,19,260
Metro Parks & Recreation,7/19/2014,84,539
Metro Parks & Recreation,9/26/2015,91,368
Metro Police,10/12/2013,120,1501
Metro Police,12/6/2014,119,1560
Metro Police,11/7/2015,141,1564
Metro Police,7/2/2016,155,1571
Office of Performance Improvmt,6/23/2012,0,4
Office of Performance Improvmt,5/25/2013,0,7
Office of Performance Improvmt,3/15/2014,1,8
Office of Performance Improvmt,2/14/2015,2,11
Office of Performance Improvmt,9/10/2016,0,12
Office of Performance Improvmt,11/19/2016,1,14
Office of Performance Improvmt,4/22/2017,1,13
Office of Performance Improvmt,8/26/2017,1,13
OMB ,5/12/2012,42,174
OMB ,5/25/2013,49,177
OMB ,4/12/2014,40,184
OMB ,3/26/2016,45,198
OMB ,4/8/2017,45,199
Other Officials               ,7/7/2012,0,3
Other Officials               ,4/13/2013,0,3
Other Officials               ,8/2/2014,0,3
Other Officials               ,8/30/2014,0,3
Other Officials               ,12/20/2014,0,3
Other Officials               ,6/6/2015,0,3
Parking Authority of River Cty,12/10/2011,4,21
Parking Authority of River Cty,11/24/2012,4,23
Parking Authority of River Cty,4/13/2013,4,25
Parking Authority of River Cty,1/4/2014,2,26
Parking Authority of River Cty,6/21/2014,4,25
Parking Authority of River Cty,7/5/2014,4,26
Parking Authority of River Cty,11/22/2014,4,27
Parking Authority of River Cty,4/25/2015,3,26
Public Health & Wellness,4/14/2012,107,256
Public Health & Wellness,11/8/2014,62,210
Public Health & Wellness,10/8/2016,51,215
Public Health & Wellness,2/11/2017,61,213
Public Health & Wellness,5/6/2017,56,224
PW&A ,3/2/2013,136,436
PW&A ,5/11/2013,130,434
PW&A ,8/31/2013,126,425
PW&A ,3/1/2014,122,431
PW&A ,6/7/2014,125,435
Waterfront Development Corp,8/2/2014,4,22
Waterfront Development Corp,7/18/2015,8,23
Waterfront Development Corp,8/15/2015,8,21
Waterfront Development Corp,10/8/2016,7,20
Youth Detention Services      ,2/4/2012,18,117
Youth Detention Services      ,9/29/2012,21,121
Youth Detention Services      ,10/11/2014,17,110
Youth Detention Services      ,4/9/2016,30,111
Youth Detention Services      ,7/16/2016,28,117
Youth Detention Services      ,7/15/2017,36,110
Zoo,4/14/2012,24,228
Zoo,11/8/2014,14,277
Zoo,2/11/2017,16,151
Metro Parks & Recreation,6/3/2017,72,450
Metro Police,9/15/2012,109,1508
Metro Police,3/29/2014,103,1528
Metro Police,9/27/2014,113,1567
Metro Police,9/26/2015,138,1577
Metro Police,10/24/2015,137,1565
Metro Police,1/28/2017,155,1562
Office of Performance Improvmt,2/18/2012,0,4
Office of Performance Improvmt,4/28/2012,0,4
Office of Performance Improvmt,8/13/2016,0,11
OMB ,1/19/2013,47,173
OMB ,2/1/2014,35,181
OMB ,9/13/2014,39,179
OMB ,3/25/2017,46,199
Other Officials               ,12/24/2011,0,3
Other Officials               ,1/18/2014,0,3
Other Officials               ,5/24/2014,0,3
