SFY,All Funding Sources,AGE,Test Type,# of Tests
2008-2009,GFS,14,Ova/ Parasites,
2008-2009,GFS,14,Total Cholesterol,171
2008-2009,GFS,15,Sickle Cell,26
2008-2009,GFS,15,Blood Lead,34
2008-2009,GFS,15,Lead Test,260
2008-2009,GFS,15,Lead Referral,30
2008-2009,GFS,15,""VDRL, RPR, ART"",147
2008-2009,GFS,15,Gonorrhea,260
2008-2009,GFS,15,Pap Smear,
2008-2009,GFS,15,Chlamydia,296
2008-2009,GFS,15,Pelvic Exam,
2008-2009,GFS,15,Ova/ Parasites,
2008-2009,GFS,15,Total Cholesterol,174
2008-2009,GFS,16,Sickle Cell,17
2008-2009,GFS,16,Blood Lead,37
2008-2009,GFS,16,Lead Test,249
2008-2009,GFS,16,Lead Referral,25
2008-2009,GFS,16,""VDRL, RPR, ART"",320
2008-2009,GFS,16,Gonorrhea,513
2008-2009,GFS,16,Pap Smear,
2008-2009,GFS,16,Chlamydia,540
2008-2009,GFS,16,Pelvic Exam,20
2008-2009,GFS,16,Ova/ Parasites,
2008-2009,GFS,16,Total Cholesterol,171
2008-2009,GFS,17,Sickle Cell,22
2008-2009,GFS,17,Blood Lead,32
2008-2009,GFS,17,Lead Test,230
2008-2009,GFS,17,Lead Referral,23
2008-2009,GFS,17,""VDRL, RPR, ART"",707
2008-2009,GFS,17,Gonorrhea,866
2008-2009,GFS,17,Pap Smear,
2008-2009,GFS,17,Chlamydia,900
2008-2009,GFS,17,Pelvic Exam,45
2008-2009,GFS,17,Ova/ Parasites,
2008-2009,GFS,17,Total Cholesterol,139
2008-2009,GFS,18,Sickle Cell,
2008-2009,GFS,18,Blood Lead,22
2008-2009,GFS,18,Lead Test,154
2008-2009,GFS,18,Lead Referral,20
2008-2009,GFS,18,""VDRL, RPR, ART"",1271
2008-2009,GFS,18,Gonorrhea,1391
2008-2009,GFS,18,Pap Smear,15
2008-2009,GFS,18,Chlamydia,1392
2008-2009,GFS,18,Pelvic Exam,64
2008-2009,GFS,18,Ova/ Parasites,
2008-2009,GFS,18,Total Cholesterol,140
2008-2009,GFS,19,Sickle Cell,0
2008-2009,GFS,19,Blood Lead,
2008-2009,GFS,19,Lead Test,
2008-2009,GFS,19,Lead Referral,0
2008-2009,GFS,19,""VDRL, RPR, ART"",0
2008-2009,GFS,19,Gonorrhea,0
2008-2009,GFS,19,Pap Smear,0
2008-2009,GFS,19,Chlamydia,0
2008-2009,GFS,19,Pelvic Exam,0
2008-2009,GFS,19,Ova/ Parasites,0
2008-2009,GFS,19,Total Cholesterol,0
2008-2009,GFS,20,Sickle Cell,0
2008-2009,GFS,20,Blood Lead,0
2008-2009,GFS,20,Lead Test,0
2008-2009,GFS,20,Lead Referral,0
2008-2009,GFS,20,""VDRL, RPR, ART"",0
2008-2009,GFS,20,Gonorrhea,0
2008-2009,GFS,20,Pap Smear,0
2008-2009,GFS,20,Chlamydia,0
2008-2009,GFS,20,Pelvic Exam,0
2008-2009,GFS,20,Ova/ Parasites,0
2008-2009,GFS,20,Total Cholesterol,0
2008-2009,GFS,UNKNOWN,Sickle Cell,0
2008-2009,GFS,UNKNOWN,Blood Lead,0
2008-2009,GFS,UNKNOWN,Lead Test,0
2008-2009,GFS,UNKNOWN,Lead Referral,0
2008-2009,GFS,UNKNOWN,""VDRL, RPR, ART"",0
2008-2009,GFS,UNKNOWN,Gonorrhea,0
2008-2009,GFS,UNKNOWN,Pap Smear,0
2008-2009,GFS,UNKNOWN,Chlamydia,0
2008-2009,GFS,UNKNOWN,Pelvic Exam,0
2008-2009,GFS,UNKNOWN,Ova/ Parasites,0
2008-2009,GFS,UNKNOWN,Total Cholesterol,0
2008-2009,IFS,0,Sickle Cell,28
2008-2009,IFS,0,Blood Lead,3535
2008-2009,IFS,0,Lead Test,6632
2008-2009,IFS,0,Lead Referral,988
2008-2009,IFS,0,""VDRL, RPR, ART"",
2008-2009,IFS,0,Gonorrhea,12
2008-2009,IFS,0,Pap Smear,
2008-2009,IFS,0,Chlamydia,
2008-2009,IFS,0,Pelvic Exam,
2008-2009,IFS,0,Ova/ Parasites,15
2008-2009,IFS,0,Total Cholesterol,
2008-2009,IFS,1,Sickle Cell,180
2008-2009,IFS,1,Blood Lead,23053
2008-2009,IFS,1,Lead Test,63259
2008-2009,IFS,1,Lead Referral,9111
2008-2009,IFS,1,""VDRL, RPR, ART"",
2008-2009,IFS,1,Gonorrhea,
2008-2009,IFS,1,Pap Smear,
2008-2009,IFS,1,Chlamydia,
2008-2009,IFS,1,Pelvic Exam,
2008-2009,IFS,1,Ova/ Parasites,74
2008-2009,IFS,1,Total Cholesterol,269
2008-2009,IFS,2,Sickle Cell,96
2008-2009,IFS,2,Blood Lead,16991
2008-2009,IFS,2,Lead Test,45195
2008-2009,IFS,2,Lead Referral,5848
2008-2009,IFS,2,""VDRL, RPR, ART"",
2008-2009,IFS,2,Gonorrhea,
2008-2009,IFS,2,Pap Smear,19
2008-2009,IFS,2,Chlamydia,
2008-2009,IFS,2,Pelvic Exam,11
2008-2009,IFS,2,Ova/ Parasites,43
2008-2009,IFS,2,Total Cholesterol,237
2008-2009,IFS,3,Sickle Cell,72
2008-2009,IFS,3,Blood Lead,6724
2008-2009,IFS,3,Lead Test,17363
2008-2009,IFS,3,Lead Referral,2204
2008-2009,IFS,3,""VDRL, RPR, ART"",13
2008-2009,IFS,3,Gonorrhea,0
2008-2009,IFS,3,Pap Smear,
2008-2009,IFS,3,Chlamydia,
2008-2009,IFS,3,Pelvic Exam,
2008-2009,IFS,3,Ova/ Parasites,38
2008-2009,IFS,3,Total Cholesterol,253
2008-2009,IFS,4,Sickle Cell,75
2008-2009,IFS,4,Blood Lead,7105
2008-2009,IFS,4,Lead Test,17173
2008-2009,IFS,4,Lead Referral,2240
2008-2009,IFS,4,""VDRL, RPR, ART"",
2008-2009,IFS,4,Gonorrhea,
2008-2009,IFS,4,Pap Smear,
2008-2009,IFS,4,Chlamydia,21
2008-2009,IFS,4,Pelvic Exam,
2008-2009,IFS,4,Ova/ Parasites,49
2008-2009,IFS,4,Total Cholesterol,417
2008-2009,IFS,5,Sickle Cell,37
2008-2009,IFS,5,Blood Lead,3390
2008-2009,IFS,5,Lead Test,8828
2008-2009,IFS,5,Lead Referral,1126
2008-2009,IFS,5,""VDRL, RPR, ART"",
2008-2009,IFS,5,Gonorrhea,
2008-2009,IFS,5,Pap Smear,
2008-2009,IFS,5,Chlamydia,
2008-2009,IFS,5,Pelvic Exam,
2008-2009,IFS,5,Ova/ Parasites,34
2008-2009,IFS,5,Total Cholesterol,300
2008-2009,IFS,6,Sickle Cell,25
2008-2009,IFS,6,Blood Lead,1007
2008-2009,IFS,6,Lead Test,3008
2008-2009,IFS,6,Lead Referral,454
2008-2009,IFS,6,""VDRL, RPR, ART"",
2008-2009,IFS,6,Gonorrhea,
2008-2009,IFS,6,Pap Smear,
2008-2009,IFS,6,Chlamydia,
2008-2009,IFS,6,Pelvic Exam,
2008-2009,IFS,6,Ova/ Parasites,26
2008-2009,IFS,6,Total Cholesterol,325
2008-2009,IFS,7,Sickle Cell,36
2008-2009,IFS,7,Blood Lead,387
2008-2009,IFS,7,Lead Test,1120
2008-2009,IFS,7,Lead Referral,206
2008-2009,IFS,7,""VDRL, RPR, ART"",
2008-2009,IFS,7,Gonorrhea,
2008-2009,IFS,7,Pap Smear,
2008-2009,IFS,7,Chlamydia,
2008-2009,IFS,7,Pelvic Exam,
2008-2009,IFS,7,Ova/ Parasites,15
2008-2009,IFS,7,Total Cholesterol,334
2008-2009,IFS,8,Sickle Cell,36
2008-2009,IFS,8,Blood Lead,276
2008-2009,IFS,8,Lead Test,851
2008-2009,IFS,8,Lead Referral,122
2008-2009,IFS,8,""VDRL, RPR, ART"",
2008-2009,IFS,8,Gonorrhea,
2008-2009,IFS,8,Pap Smear,
2008-2009,IFS,8,Chlamydia,
2008-2009,IFS,8,Pelvic Exam,
2008-2009,IFS,8,Ova/ Parasites,17
2008-2009,IFS,8,Total Cholesterol,361
2008-2009,IFS,9,Sickle Cell,22
2008-2009,IFS,9,Blood Lead,241
2008-2009,IFS,9,Lead Test,710
2008-2009,IFS,9,Lead Referral,142
2008-2009,IFS,9,""VDRL, RPR, ART"",14
2008-2009,IFS,9,Gonorrhea,
2008-2009,IFS,9,Pap Smear,
2008-2009,IFS,9,Chlamydia,114
2008-2009,IFS,9,Pelvic Exam,
2008-2009,IFS,9,Ova/ Parasites,17
2008-2009,IFS,9,Total Cholesterol,452
2008-2009,IFS,10,Sickle Cell,26
2008-2009,IFS,10,Blood Lead,217
2008-2009,IFS,10,Lead Test,655
2008-2009,IFS,10,Lead Referral,112
2008-2009,IFS,10,""VDRL, RPR, ART"",25
2008-2009,IFS,10,Gonorrhea,
2008-2009,IFS,10,Pap Smear,
2008-2009,IFS,10,Chlamydia,85
2008-2009,IFS,10,Pelvic Exam,
2008-2009,IFS,10,Ova/ Parasites,20
2008-2009,IFS,10,Total Cholesterol,432
2008-2009,IFS,11,Sickle Cell,
2008-2009,IFS,11,Blood Lead,198
2008-2009,IFS,11,Lead Test,677
2008-2009,IFS,11,Lead Referral,143
2008-2009,IFS,11,""VDRL, RPR, ART"",28
2008-2009,IFS,11,Gonorrhea,28
2008-2009,IFS,11,Pap Smear,
2008-2009,IFS,11,Chlamydia,199
2008-2009,IFS,11,Pelvic Exam,30
2008-2009,IFS,11,Ova/ Parasites,
2008-2009,IFS,11,Total Cholesterol,631
2008-2009,IFS,12,Sickle Cell,36
2008-2009,IFS,12,Blood Lead,185
2008-2009,IFS,12,Lead Test,688
2008-2009,IFS,12,Lead Referral,110
2008-2009,IFS,12,""VDRL, RPR, ART"",36
2008-2009,IFS,12,Gonorrhea,109
2008-2009,IFS,12,Pap Smear,
2008-2009,IFS,12,Chlamydia,289
2008-2009,IFS,12,Pelvic Exam,
2008-2009,IFS,12,Ova/ Parasites,
2008-2009,IFS,12,Total Cholesterol,551
2008-2009,IFS,13,Sickle Cell,40
2008-2009,IFS,13,Blood Lead,186
2008-2009,IFS,13,Lead Test,659
2008-2009,IFS,13,Lead Referral,88
2008-2009,IFS,13,""VDRL, RPR, ART"",70
2008-2009,IFS,13,Gonorrhea,202
2008-2009,IFS,13,Pap Smear,
2008-2009,IFS,13,Chlamydia,376
2008-2009,IFS,13,Pelvic Exam,36
2008-2009,IFS,13,Ova/ Parasites,
2008-2009,IFS,13,Total Cholesterol,571
2008-2009,IFS,14,Sickle Cell,43
2008-2009,IFS,14,Blood Lead,133
2008-2009,IFS,14,Lead Test,633
2008-2009,IFS,14,Lead Referral,99
2008-2009,IFS,14,""VDRL, RPR, ART"",183
2008-2009,IFS,14,Gonorrhea,402
2008-2009,IFS,14,Pap Smear,53
2008-2009,IFS,14,Chlamydia,609
2008-2009,IFS,14,Pelvic Exam,51
2008-2009,IFS,14,Ova/ Parasites,14
2008-2009,IFS,14,Total Cholesterol,652
2008-2009,IFS,15,Sickle Cell,45
2008-2009,IFS,15,Blood Lead,133
2008-2009,IFS,15,Lead Test,634
2008-2009,IFS,15,Lead Referral,87
2008-2009,IFS,15,""VDRL, RPR, ART"",363
2008-2009,IFS,15,Gonorrhea,727
2008-2009,IFS,15,Pap Smear,80
2008-2009,IFS,15,Chlamydia,1048
2008-2009,IFS,15,Pelvic Exam,56
2008-2009,IFS,15,Ova/ Parasites,
2008-2009,IFS,15,Total Cholesterol,596
2008-2009,IFS,16,Sickle Cell,40
2008-2009,IFS,16,Blood Lead,108
2008-2009,IFS,16,Lead Test,577
2008-2009,IFS,16,Lead Referral,60
2008-2009,IFS,16,""VDRL, RPR, ART"",592
2008-2009,IFS,16,Gonorrhea,1142
2008-2009,IFS,16,Pap Smear,135
2008-2009,IFS,16,Chlamydia,1505
2008-2009,IFS,16,Pelvic Exam,114
2008-2009,IFS,16,Ova/ Parasites,11
2008-2009,IFS,16,Total Cholesterol,563
2008-2009,IFS,17,Sickle Cell,36
2008-2009,IFS,17,Blood Lead,96
2008-2009,IFS,17,Lead Test,518
2008-2009,IFS,17,Lead Referral,59
2008-2009,IFS,17,""VDRL, RPR, ART"",1056
2008-2009,IFS,17,Gonorrhea,1594
2008-2009,IFS,17,Pap Smear,164
2008-2009,IFS,17,Chlamydia,1920
2008-2009,IFS,17,Pelvic Exam,177
2008-2009,IFS,17,Ova/ Parasites,
2008-2009,IFS,17,Total Cholesterol,513
2008-2009,IFS,18,Sickle Cell,29
2008-2009,IFS,18,Blood Lead,42
2008-2009,IFS,18,Lead Test,292
2008-2009,IFS,18,Lead Referral,38
2008-2009,IFS,18,""VDRL, RPR, ART"",1467
2008-2009,IFS,18,Gonorrhea,1812
2008-2009,IFS,18,Pap Smear,129
2008-2009,IFS,18,Chlamydia,1962
2008-2009,IFS,18,Pelvic Exam,167
2008-2009,IFS,18,Ova/ Parasites,
2008-2009,IFS,18,Total Cholesterol,283
2008-2009,IFS,19,Sickle Cell,0
2008-2009,IFS,19,Blood Lead,
2008-2009,IFS,19,Lead Test,
2008-2009,IFS,19,Lead Referral,
2008-2009,IFS,19,""VDRL, RPR, ART"",
2008-2009,IFS,19,Gonorrhea,135
2008-2009,IFS,19,Pap Smear,80
2008-2009,IFS,19,Chlamydia,207
2008-2009,IFS,19,Pelvic Exam,74
2008-2009,IFS,19,Ova/ Parasites,0
2008-2009,IFS,19,Total Cholesterol,57
2008-2009,IFS,20,Sickle Cell,
2008-2009,IFS,20,Blood Lead,
2008-2009,IFS,20,Lead Test,82
2008-2009,IFS,20,Lead Referral,
2008-2009,IFS,20,""VDRL, RPR, ART"",
2008-2009,IFS,20,Gonorrhea,123
2008-2009,IFS,20,Pap Smear,
2008-2009,IFS,20,Chlamydia,153
2008-2009,IFS,20,Pelvic Exam,
2008-2009,IFS,20,Ova/ Parasites,0
2008-2009,IFS,20,Total Cholesterol,
2008-2009,IFS,UNKNOWN,Sickle Cell,0
2008-2009,IFS,UNKNOWN,Blood Lead,14
2008-2009,IFS,UNKNOWN,Lead Test,
2008-2009,IFS,UNKNOWN,Lead Referral,
2008-2009,IFS,UNKNOWN,""VDRL, RPR, ART"",0
2008-2009,IFS,UNKNOWN,Gonorrhea,0
2008-2009,IFS,UNKNOWN,Pap Smear,
2008-2009,IFS,UNKNOWN,Chlamydia,
2008-2009,IFS,UNKNOWN,Pelvic Exam,
2008-2009,IFS,UNKNOWN,Ova/ Parasites,0
2008-2009,IFS,UNKNOWN,Total Cholesterol,
2008-2009,SFS,0,Sickle Cell,0
2008-2009,SFS,0,Blood Lead,
2008-2009,SFS,0,Lead Test,
2008-2009,SFS,0,Lead Referral,0
2008-2009,SFS,0,""VDRL, RPR, ART"",0
2008-2009,SFS,0,Gonorrhea,0
2008-2009,SFS,0,Pap Smear,0
2008-2009,SFS,0,Chlamydia,0
2008-2009,SFS,0,Pelvic Exam,0
2008-2009,SFS,0,Ova/ Parasites,0
2008-2009,SFS,0,Total Cholesterol,0
2008-2009,SFS,1,Sickle Cell,0
2008-2009,SFS,1,Blood Lead,57
2008-2009,SFS,1,Lead Test,135
2008-2009,SFS,1,Lead Referral,
2008-2009,SFS,1,""VDRL, RPR, ART"",0
2008-2009,SFS,1,Gonorrhea,0
2008-2009,SFS,1,Pap Smear,0
2008-2009,SFS,1,Chlamydia,
2008-2009,SFS,1,Pelvic Exam,0
2008-2009,SFS,1,Ova/ Parasites,0
2008-2009,SFS,1,Total Cholesterol,0
2008-2009,SFS,2,Sickle Cell,0
2008-2009,SFS,2,Blood Lead,110
2008-2009,SFS,2,Lead Test,193
2008-2009,SFS,2,Lead Referral,14
2008-2009,SFS,2,""VDRL, RPR, ART"",0
2008-2009,SFS,2,Gonorrhea,0
2008-2009,SFS,2,Pap Smear,0
2008-2009,SFS,2,Chlamydia,0
2008-2009,SFS,2,Pelvic Exam,0
2008-2009,SFS,2,Ova/ Parasites,0
2008-2009,SFS,2,Total Cholesterol,0
2008-2009,SFS,3,Sickle Cell,
2008-2009,SFS,3,Blood Lead,107
2008-2009,SFS,3,Lead Test,205
2008-2009,SFS,3,Lead Referral,
2008-2009,SFS,3,""VDRL, RPR, ART"",0
2008-2009,SFS,3,Gonorrhea,0
2008-2009,SFS,3,Pap Smear,0
2008-2009,SFS,3,Chlamydia,0
2008-2009,SFS,3,Pelvic Exam,0
2008-2009,SFS,3,Ova/ Parasites,0
2008-2009,SFS,3,Total Cholesterol,
2008-2009,SFS,4,Sickle Cell,
2008-2009,SFS,4,Blood Lead,132
2008-2009,SFS,4,Lead Test,293
2008-2009,SFS,4,Lead Referral,14
2008-2009,SFS,4,""VDRL, RPR, ART"",0
2008-2009,SFS,4,Gonorrhea,0
2008-2009,SFS,4,Pap Smear,0
2008-2009,SFS,4,Chlamydia,0
2008-2009,SFS,4,Pelvic Exam,0
2008-2009,SFS,4,Ova/ Parasites,
2008-2009,SFS,4,Total Cholesterol,
2008-2009,SFS,5,Sickle Cell,
2008-2009,SFS,5,Blood Lead,87
2008-2009,SFS,5,Lead Test,188
2008-2009,SFS,5,Lead Referral,
2008-2009,SFS,5,""VDRL, RPR, ART"",0
2008-2009,SFS,5,Gonorrhea,0
2008-2009,SFS,5,Pap Smear,0
2008-2009,SFS,5,Chlamydia,0
2008-2009,SFS,5,Pelvic Exam,0
2008-2009,SFS,5,Ova/ Parasites,0
2008-2009,SFS,5,Total Cholesterol,
2008-2009,SFS,6,Sickle Cell,
2008-2009,SFS,6,Blood Lead,34
2008-2009,SFS,6,Lead Test,95
2008-2009,SFS,6,Lead Referral,
2008-2009,SFS,6,""VDRL, RPR, ART"",0
2008-2009,SFS,6,Gonorrhea,0
2008-2009,SFS,6,Pap Smear,0
2008-2009,SFS,6,Chlamydia,0
2008-2009,SFS,6,Pelvic Exam,0
2008-2009,SFS,6,Ova/ Parasites,0
2008-2009,SFS,6,Total Cholesterol,
2008-2009,SFS,7,Sickle Cell,
2008-2009,SFS,7,Blood Lead,16
2008-2009,SFS,7,Lead Test,37
2008-2009,SFS,7,Lead Referral,
2008-2009,SFS,7,""VDRL, RPR, ART"",0
2008-2009,SFS,7,Gonorrhea,0
2008-2009,SFS,7,Pap Smear,0
2008-2009,SFS,7,Chlamydia,0
2008-2009,SFS,7,Pelvic Exam,0
2008-2009,SFS,7,Ova/ Parasites,
2008-2009,SFS,7,Total Cholesterol,19
2008-2009,SFS,8,Sickle Cell,
2008-2009,SFS,8,Blood Lead,15
2008-2009,SFS,8,Lead Test,35
2008-2009,SFS,8,Lead Referral,
2008-2009,SFS,8,""VDRL, RPR, ART"",0
2008-2009,SFS,8,Gonorrhea,0
2008-2009,SFS,8,Pap Smear,0
2008-2009,SFS,8,Chlamydia,0
2008-2009,SFS,8,Pelvic Exam,0
2008-2009,SFS,8,Ova/ Parasites,
2008-2009,SFS,8,Total Cholesterol,22
2008-2009,SFS,9,Sickle Cell,
2008-2009,SFS,9,Blood Lead,17
2008-2009,SFS,9,Lead Test,41
2008-2009,SFS,9,Lead Referral,
2008-2009,SFS,9,""VDRL, RPR, ART"",
2008-2009,SFS,9,Gonorrhea,0
2008-2009,SFS,9,Pap Smear,0
2008-2009,SFS,9,Chlamydia,
2008-2009,SFS,9,Pelvic Exam,0
2008-2009,SFS,9,Ova/ Parasites,
2008-2009,SFS,9,Total Cholesterol,27
2008-2009,SFS,10,Sickle Cell,
2008-2009,SFS,10,Blood Lead,14
2008-2009,SFS,10,Lead Test,45
2008-2009,SFS,10,Lead Referral,
2008-2009,SFS,10,""VDRL, RPR, ART"",
2008-2009,SFS,10,Gonorrhea,
2008-2009,SFS,10,Pap Smear,0
2008-2009,SFS,10,Chlamydia,
2008-2009,SFS,10,Pelvic Exam,0
2008-2009,SFS,10,Ova/ Parasites,
2008-2009,SFS,10,Total Cholesterol,27
2008-2009,SFS,11,Sickle Cell,
2008-2009,SFS,11,Blood Lead,
2008-2009,SFS,11,Lead Test,29
2008-2009,SFS,11,Lead Referral,
2008-2009,SFS,11,""VDRL, RPR, ART"",
2008-2009,SFS,11,Gonorrhea,0
2008-2009,SFS,11,Pap Smear,0
2008-2009,SFS,11,Chlamydia,
2008-2009,SFS,11,Pelvic Exam,0
2008-2009,SFS,11,Ova/ Parasites,0
2008-2009,SFS,11,Total Cholesterol,44
2008-2009,SFS,12,Sickle Cell,
2008-2009,SFS,12,Blood Lead,11
2008-2009,SFS,12,Lead Test,41
2008-2009,SFS,12,Lead Referral,
2008-2009,SFS,12,""VDRL, RPR, ART"",0
2008-2009,SFS,12,Gonorrhea,
2008-2009,SFS,12,Pap Smear,0
2008-2009,SFS,12,Chlamydia,
2008-2009,SFS,12,Pelvic Exam,0
2008-2009,SFS,12,Ova/ Parasites,
2008-2009,SFS,12,Total Cholesterol,40
2008-2009,SFS,13,Sickle Cell,
2008-2009,SFS,13,Blood Lead,
2008-2009,SFS,13,Lead Test,24
2008-2009,SFS,13,Lead Referral,
2008-2009,SFS,13,""VDRL, RPR, ART"",
2008-2009,SFS,13,Gonorrhea,
2008-2009,SFS,13,Pap Smear,0
2008-2009,SFS,13,Chlamydia,
2008-2009,SFS,13,Pelvic Exam,0
2008-2009,SFS,13,Ova/ Parasites,
2008-2009,SFS,13,Total Cholesterol,33
2008-2009,SFS,14,Sickle Cell,
2008-2009,SFS,14,Blood Lead,11
2008-2009,SFS,14,Lead Test,25
2008-2009,SFS,14,Lead Referral,
2008-2009,SFS,14,""VDRL, RPR, ART"",12
2008-2009,SFS,14,Gonorrhea,20
2008-2009,SFS,14,Pap Smear,
2008-2009,SFS,14,Chlamydia,25
2008-2009,SFS,14,Pelvic Exam,0
2008-2009,SFS,14,Ova/ Parasites,0
2008-2009,SFS,14,Total Cholesterol,29
2008-2009,SFS,15,Sickle Cell,
2008-2009,SFS,15,Blood Lead,
2008-2009,SFS,15,Lead Test,30
2008-2009,SFS,15,Lead Referral,
2008-2009,SFS,15,""VDRL, RPR, ART"",26
2008-2009,SFS,15,Gonorrhea,30
2008-2009,SFS,15,Pap Smear,
2008-2009,SFS,15,Chlamydia,39
2008-2009,SFS,15,Pelvic Exam,
2008-2009,SFS,15,Ova/ Parasites,
2008-2009,SFS,15,Total Cholesterol,24
2008-2009,SFS,16,Sickle Cell,
2008-2009,SFS,16,Blood Lead,
2008-2009,SFS,16,Lead Test,30
2008-2009,SFS,16,Lead Referral,
2008-2009,SFS,16,""VDRL, RPR, ART"",56
2008-2009,SFS,16,Gonorrhea,68
2008-2009,SFS,16,Pap Smear,
2008-2009,SFS,16,Chlamydia,71
2008-2009,SFS,16,Pelvic Exam,
2008-2009,SFS,16,Ova/ Parasites,
2008-2009,SFS,16,Total Cholesterol,34
2008-2009,SFS,17,Sickle Cell,
2008-2009,SFS,17,Blood Lead,
2008-2009,SFS,17,Lead Test,30
2008-2009,SFS,17,Lead Referral,
2008-2009,SFS,17,""VDRL, RPR, ART"",73
2008-2009,SFS,17,Gonorrhea,78
2008-2009,SFS,17,Pap Smear,
2008-2009,SFS,17,Chlamydia,81
2008-2009,SFS,17,Pelvic Exam,
2008-2009,SFS,17,Ova/ Parasites,0
2008-2009,SFS,17,Total Cholesterol,31
2008-2009,SFS,18,Sickle Cell,
2008-2009,SFS,18,Blood Lead,
2008-2009,SFS,18,Lead Test,
2008-2009,SFS,18,Lead Referral,
2008-2009,SFS,18,""VDRL, RPR, ART"",57
2008-2009,SFS,18,Gonorrhea,67
2008-2009,SFS,18,Pap Smear,
2008-2009,SFS,18,Chlamydia,70
2008-2009,SFS,18,Pelvic Exam,
2008-2009,SFS,18,Ova/ Parasites,0
2008-2009,SFS,18,Total Cholesterol,19
2008-2009,SFS,19,Sickle Cell,0
2008-2009,SFS,19,Blood Lead,0
2008-2009,SFS,19,Lead Test,0
2008-2009,SFS,19,Lead Referral,0
2008-2009,SFS,19,""VDRL, RPR, ART"",0
2008-2009,SFS,19,Gonorrhea,0
2008-2009,SFS,19,Pap Smear,0
2008-2009,SFS,19,Chlamydia,0
2008-2009,SFS,19,Pelvic Exam,0
2008-2009,SFS,19,Ova/ Parasites,0
2008-2009,SFS,19,Total Cholesterol,0
2008-2009,SFS,20,Sickle Cell,0
2008-2009,SFS,20,Blood Lead,0
2008-2009,SFS,20,Lead Test,0
2008-2009,SFS,20,Lead Referral,0
2008-2009,SFS,20,""VDRL, RPR, ART"",0
2008-2009,SFS,20,Gonorrhea,0
2008-2009,SFS,20,Pap Smear,0
2008-2009,SFS,20,Chlamydia,0
2008-2009,SFS,20,Pelvic Exam,0
2008-2009,SFS,20,Ova/ Parasites,0
2008-2009,SFS,20,Total Cholesterol,0
2008-2009,SFS,UNKNOWN,Sickle Cell,0
2008-2009,SFS,UNKNOWN,Blood Lead,0
2008-2009,SFS,UNKNOWN,Lead Test,
2008-2009,SFS,UNKNOWN,Lead Referral,0
2008-2009,SFS,UNKNOWN,""VDRL, RPR, ART"",0
2008-2009,SFS,UNKNOWN,Gonorrhea,0
2008-2009,SFS,UNKNOWN,Pap Smear,0
2008-2009,SFS,UNKNOWN,Chlamydia,0
2008-2009,SFS,UNKNOWN,Pelvic Exam,0
2008-2009,SFS,UNKNOWN,Ova/ Parasites,0
2008-2009,SFS,UNKNOWN,Total Cholesterol,0
2009-2010,All,0,Sickle Cell,
2009-2010,All,0,Blood Lead,3267
2009-2010,All,0,Lead Test,6884
2009-2010,All,0,Lead Referral,917
2009-2010,All,0,""VDRL, RPR, ART"",
2009-2010,All,0,Gonorrhea,13
2009-2010,All,0,Pap Smear,
2009-2010,All,0,Chlamydia,29
2009-2010,All,0,Pelvic Exam,
2009-2010,All,0,Ova/ Parasites,16
2009-2010,All,0,Total Cholesterol,181
2009-2010,All,1,Sickle Cell,180
2009-2010,All,1,Blood Lead,25260
2009-2010,All,1,Lead Test,59040
2009-2010,All,1,Lead Referral,8508
2009-2010,All,1,""VDRL, RPR, ART"",19
2009-2010,All,1,Gonorrhea,
2009-2010,All,1,Pap Smear,20
2009-2010,All,1,Chlamydia,33
2009-2010,All,1,Pelvic Exam,21
2009-2010,All,1,Ova/ Parasites,63
2009-2010,All,1,Total Cholesterol,267
2009-2010,All,2,Sickle Cell,87
2009-2010,All,2,Blood Lead,19293
2009-2010,All,2,Lead Test,44312
2009-2010,All,2,Lead Referral,6121
2009-2010,All,2,""VDRL, RPR, ART"",16
2009-2010,All,2,Gonorrhea,0
2009-2010,All,2,Pap Smear,14
2009-2010,All,2,Chlamydia,15
2009-2010,All,2,Pelvic Exam,14
2009-2010,All,2,Ova/ Parasites,56
2009-2010,All,2,Total Cholesterol,251
2009-2010,All,3,Sickle Cell,66
2009-2010,All,3,Blood Lead,7364
2009-2010,All,3,Lead Test,17111
2009-2010,All,3,Lead Referral,2081
2009-2010,All,3,""VDRL, RPR, ART"",
2009-2010,All,3,Gonorrhea,
2009-2010,All,3,Pap Smear,
2009-2010,All,3,Chlamydia,
2009-2010,All,3,Pelvic Exam,
2009-2010,All,3,Ova/ Parasites,30
2009-2010,All,3,Total Cholesterol,255
2009-2010,All,4,Sickle Cell,70
2009-2010,All,4,Blood Lead,8038
2009-2010,All,4,Lead Test,16447
2009-2010,All,4,Lead Referral,1974
2009-2010,All,4,""VDRL, RPR, ART"",
2009-2010,All,4,Gonorrhea,
2009-2010,All,4,Pap Smear,
2009-2010,All,4,Chlamydia,15
2009-2010,All,4,Pelvic Exam,
2009-2010,All,4,Ova/ Parasites,50
2009-2010,All,4,Total Cholesterol,411
2009-2010,All,5,Sickle Cell,44
2009-2010,All,5,Blood Lead,3609
2009-2010,All,5,Lead Test,8402
2009-2010,All,5,Lead Referral,1039
2009-2010,All,5,""VDRL, RPR, ART"",
2009-2010,All,5,Gonorrhea,
2009-2010,All,5,Pap Smear,
2009-2010,All,5,Chlamydia,13
2009-2010,All,5,Pelvic Exam,
