SFY,Fund_Source,Age,Total Children Receiving CHDP Services,% of Total Children Receiving CHDP Services,Total Amount Paid for CHDP Services,% of Total Amount Paid
2011-2012,GFS,19,0,0.00%,$0 ,0.00%
2011-2012,GFS,20,0,0.00%,$0 ,0.00%
2011-2012,GFS,Unknown,0,0.00%,$0 ,0.00%
2011-2012,GFS,TOTAL,267340,100.00%,"$23,195,423 ",100.00%
2011-2012,SFS,0,130,0.47%,"$9,674 ",0.47%
2011-2012,SFS,1,173,0.63%,"$15,971 ",0.78%
2011-2012,SFS,2,190,0.69%,"$13,018 ",0.63%
2011-2012,SFS,3,239,0.87%,"$16,411 ",0.80%
2011-2012,SFS,4,433,1.57%,"$37,491 ",1.82%
2011-2012,SFS,5,469,1.70%,"$31,304 ",1.52%
2011-2012,SFS,6,621,2.26%,"$42,111 ",2.05%
2011-2012,SFS,7,775,2.82%,"$50,563 ",2.46%
2011-2012,SFS,8,870,3.16%,"$56,948 ",2.77%
2011-2012,SFS,9,1042,3.79%,"$70,099 ",3.41%
2011-2012,SFS,10,1393,5.06%,"$94,808 ",4.61%
2011-2012,SFS,11,3073,11.16%,"$226,534 ",11.02%
2011-2012,SFS,12,3232,11.74%,"$231,948 ",11.29%
2011-2012,SFS,13,2927,10.63%,"$220,684 ",10.74%
2011-2012,SFS,14,2799,10.17%,"$212,860 ",10.36%
2011-2012,SFS,15,2845,10.34%,"$224,549 ",10.93%
2011-2012,SFS,16,2869,10.42%,"$224,842 ",10.94%
2011-2012,SFS,17,2533,9.20%,"$202,674 ",9.86%
2011-2012,SFS,18,914,3.32%,"$72,372 ",3.52%
2011-2012,SFS,19,0,0.00%,$0 ,0.00%
2011-2012,SFS,20,0,0.00%,$0 ,0.00%
2011-2012,SFS,Unknown,0,0.00%,$0 ,0.00%
2011-2012,SFS,TOTAL,27527,100.00%,"$2,054,861 ",100.00%
2011-2012,IFS,0,287842,17.57%,$0 ,0.00%
2011-2012,IFS,1,220231,13.44%,$0 ,0.00%
2011-2012,IFS,2,127571,7.79%,$0 ,0.00%
2011-2012,IFS,3,117639,7.18%,$0 ,0.00%
2011-2012,IFS,4,139834,8.53%,$0 ,0.00%
2011-2012,IFS,5,93468,5.70%,$0 ,0.00%
2011-2012,IFS,6,71014,4.33%,$0 ,0.00%
2011-2012,IFS,7,52170,3.18%,$0 ,0.00%
2011-2012,IFS,8,47560,2.90%,$0 ,0.00%
2011-2012,IFS,9,44939,2.74%,$0 ,0.00%
2011-2012,IFS,10,45497,2.78%,$0 ,0.00%
2011-2012,IFS,11,63331,3.87%,$0 ,0.00%
2011-2012,IFS,12,57498,3.51%,$0 ,0.00%
2011-2012,IFS,13,50065,3.06%,$0 ,0.00%
2011-2012,IFS,14,50102,3.06%,$0 ,0.00%
2011-2012,IFS,15,48261,2.95%,$0 ,0.00%
2011-2012,IFS,16,47516,2.90%,$0 ,0.00%
2011-2012,IFS,17,41231,2.52%,$0 ,0.00%
2011-2012,IFS,18,17413,1.06%,$0 ,0.00%
2011-2012,IFS,19,5772,0.35%,$0 ,0.00%
2011-2012,IFS,20,7819,0.48%,$0 ,0.00%
2011-2012,IFS,Unknown,1685,0.10%,$0 ,0.00%
2011-2012,IFS,TOTAL,1638458,100.00%,$0 ,0.00%
2012-13,All,0,469920,23.26%,"$17,870,625 ",42.48%
2012-13,All,1,226897,11.23%,"$4,197,162 ",9.98%
2012-13,All,2,130837,6.48%,"$1,725,620 ",4.10%
2012-13,All,3,117845,5.83%,"$1,396,317 ",3.32%
2012-13,All,4,143524,7.10%,"$2,353,308 ",5.59%
2012-13,All,5,102604,5.08%,"$1,385,526 ",3.29%
2012-13,All,6,81217,4.02%,"$990,494 ",2.35%
2012-13,All,7,61606,3.05%,"$727,483 ",1.73%
2012-13,All,8,56056,2.77%,"$664,088 ",1.58%
2012-13,All,9,53541,2.65%,"$687,720 ",1.63%
2012-13,All,10,52255,2.59%,"$727,573 ",1.73%
2012-13,All,11,76061,3.76%,"$1,246,327 ",2.96%
2012-13,All,12,71000,3.51%,"$1,260,056 ",3.00%
2012-13,All,13,53221,2.63%,"$982,659 ",2.34%
2012-13,All,14,53520,2.65%,"$1,105,003 ",2.63%
2012-13,All,15,53229,2.63%,"$1,357,866 ",3.23%
2012-13,All,16,53012,2.62%,"$1,509,733 ",3.59%
2012-13,All,17,45376,2.25%,"$1,253,271 ",2.98%
2012-13,All,18,21310,1.05%,"$575,809 ",1.37%
2012-13,All,19,5166,0.26%,"$31,166 ",0.07%
2012-13,All,20,5826,0.29%,"$15,999 ",0.04%
2012-13,All,Unknown,86298,4.27%,$0 ,0.00%
2012-13,All,TOTAL,2020321,100.00%,"$42,063,805 ",100.00%
2012-13,FFS,0,139842,47.43%,"$11,090,604 ",50.90%
2012-13,FFS,1,28263,9.59%,"$2,573,407 ",11.81%
2012-13,FFS,2,16256,5.51%,"$1,054,025 ",4.84%
2012-13,FFS,3,13758,4.67%,"$817,590 ",3.75%
2012-13,FFS,4,16301,5.53%,"$1,287,155 ",5.91%
2012-13,FFS,5,10877,3.69%,"$694,445 ",3.19%
2012-13,FFS,6,8122,2.75%,"$492,327 ",2.26%
2012-13,FFS,7,6122,2.08%,"$344,101 ",1.58%
2012-13,FFS,8,5330,1.81%,"$289,343 ",1.33%
2012-13,FFS,9,4978,1.69%,"$275,071 ",1.26%
2012-13,FFS,10,4875,1.65%,"$282,181 ",1.29%
2012-13,FFS,11,6898,2.34%,"$437,624 ",2.01%
2012-13,FFS,12,6369,2.16%,"$387,281 ",1.78%
2012-13,FFS,13,4892,1.66%,"$303,480 ",1.39%
2012-13,FFS,14,4935,1.67%,"$318,553 ",1.46%
2012-13,FFS,15,4835,1.64%,"$322,081 ",1.48%
2012-13,FFS,16,5154,1.75%,"$354,102 ",1.63%
2012-13,FFS,17,4494,1.52%,"$312,213 ",1.43%
2012-13,FFS,18,1738,0.59%,"$107,955 ",0.50%
2012-13,FFS,19,550,0.19%,"$31,166 ",0.14%
2012-13,FFS,20,249,0.08%,"$15,999 ",0.07%
2012-13,FFS,Unknown,0,0.00%,$0 ,0.00%
2012-13,FFS,TOTAL,294838,100.00%,"$21,790,703 ",100.00%
2012-13,GFS,0,83321,35.67%,"$6,772,278 ",35.87%
2012-13,GFS,1,17767,7.61%,"$1,608,067 ",8.52%
2012-13,GFS,2,9948,4.26%,"$658,037 ",3.49%
2012-13,GFS,3,8451,3.62%,"$564,607 ",2.99%
2012-13,GFS,4,11919,5.10%,"$1,039,775 ",5.51%
2012-13,GFS,5,8426,3.61%,"$671,437 ",3.56%
2012-13,GFS,6,6354,2.72%,"$471,521 ",2.50%
2012-13,GFS,7,4941,2.12%,"$353,110 ",1.87%
2012-13,GFS,8,4698,2.01%,"$335,414 ",1.78%
2012-13,GFS,9,4858,2.08%,"$356,698 ",1.89%
2012-13,GFS,10,5074,2.17%,"$375,631 ",1.99%
2012-13,GFS,11,8334,3.57%,"$645,197 ",3.42%
2012-13,GFS,12,8665,3.71%,"$700,600 ",3.71%
2012-13,GFS,13,6779,2.90%,"$555,643 ",2.94%
2012-13,GFS,14,7748,3.32%,"$638,475 ",3.38%
2012-13,GFS,15,10302,4.41%,"$888,740 ",4.71%
2012-13,GFS,16,11559,4.95%,"$1,013,393 ",5.37%
2012-13,GFS,17,9609,4.11%,"$819,590 ",4.34%
2012-13,GFS,18,4848,2.08%,"$413,225 ",2.19%
2012-13,GFS,19,0,0.00%,$0 ,0.00%
2012-13,GFS,20,0,0.00%,$0 ,0.00%
2012-13,GFS,Unknown,0,0.00%,$0 ,0.00%
2012-13,GFS,TOTAL,233601,100.00%,"$18,881,438 ",100.00%
2012-13,SFS,0,111,0.55%,"$7,743 ",0.56%
2012-13,SFS,1,179,0.88%,"$15,688 ",1.13%
2012-13,SFS,2,180,0.89%,"$13,558 ",0.97%
2012-13,SFS,3,193,0.95%,"$14,120 ",1.01%
2012-13,SFS,4,312,1.54%,"$26,378 ",1.90%
2012-13,SFS,5,290,1.43%,"$19,644 ",1.41%
2012-13,SFS,6,423,2.09%,"$26,646 ",1.91%
2012-13,SFS,7,484,2.39%,"$30,272 ",2.18%
2012-13,SFS,8,625,3.09%,"$39,331 ",2.83%
2012-13,SFS,9,908,4.48%,"$55,951 ",4.02%
2012-13,SFS,10,1106,5.46%,"$69,761 ",5.01%
2012-13,SFS,11,2343,11.57%,"$163,506 ",11.75%
2012-13,SFS,12,2567,12.68%,"$172,175 ",12.37%
2012-13,SFS,13,1883,9.30%,"$123,536 ",8.88%
2012-13,SFS,14,2172,10.73%,"$147,975 ",10.63%
2012-13,SFS,15,2092,10.33%,"$147,045 ",10.57%
2012-13,SFS,16,1981,9.78%,"$142,238 ",10.22%
2012-13,SFS,17,1667,8.23%,"$121,468 ",8.73%
2012-13,SFS,18,734,3.62%,"$54,629 ",3.93%
2012-13,SFS,19,0,0.00%,$0 ,0.00%
2012-13,SFS,20,0,0.00%,$0 ,0.00%
2012-13,SFS,Unknown,0,0.00%,$0 ,0.00%
2012-13,SFS,TOTAL,20250,100.00%,"$1,391,664 ",100.00%
2012-13,IFS,0,246646,0.55%,$0 ,0.56%
2012-13,IFS,1,180688,0.88%,$0 ,1.13%
2012-13,IFS,2,104453,0.89%,$0 ,0.97%
2012-13,IFS,3,95443,0.95%,$0 ,1.01%
2012-13,IFS,4,114992,1.54%,$0 ,1.90%
2012-13,IFS,5,83011,1.43%,$0 ,1.41%
2012-13,IFS,6,66318,2.09%,$0 ,1.91%
2012-13,IFS,7,50059,2.39%,$0 ,2.18%
2012-13,IFS,8,45403,3.09%,$0 ,2.83%
2012-13,IFS,9,42797,4.48%,$0 ,4.02%
2012-13,IFS,10,41200,5.46%,$0 ,5.01%
2012-13,IFS,11,58486,11.57%,$0 ,11.75%
2012-13,IFS,12,53399,12.68%,$0 ,12.37%
2012-13,IFS,13,39667,9.30%,$0 ,8.88%
2012-13,IFS,14,38665,10.73%,$0 ,10.63%
2012-13,IFS,15,36000,10.33%,$0 ,10.57%
2012-13,IFS,16,34318,9.78%,$0 ,10.22%
2012-13,IFS,17,29606,8.23%,$0 ,8.73%
2012-13,IFS,18,13990,3.62%,$0 ,3.93%
2012-13,IFS,19,4616,0.00%,$0 ,0.00%
2012-13,IFS,20,5577,0.00%,$0 ,0.00%
2012-13,IFS,Unknown,86298,0.00%,$0 ,0.00%
2012-13,IFS,TOTAL,1471632,100.00%,$0 ,100.00%
2013-14,All,0,415973,5880.31%,"$17,869,487 ",3791.81%
2013-14,All,1,215874,3051.65%,"$3,840,189 ",814.87%
2013-14,All,2,122703,1734.56%,"$1,548,342 ",328.55%
2013-14,All,3,109784,1551.94%,"$1,212,312 ",257.25%
2013-14,All,4,133719,1890.29%,"$1,973,071 ",418.68%
2013-14,All,5,100926,1426.72%,"$1,232,586 ",261.55%
2013-14,All,6,82820,1170.77%,"$913,288 ",193.79%
2013-14,All,7,65530,926.35%,"$656,853 ",139.38%
2013-14,All,8,59771,844.94%,"$584,176 ",123.96%
2013-14,All,9,57998,819.88%,"$620,829 ",131.74%
2013-14,All,10,55924,790.56%,"$648,234 ",137.55%
2013-14,All,11,84818,1199.01%,"$1,109,693 ",235.47%
2013-14,All,12,78104,1104.10%,"$1,137,307 ",241.33%
2013-14,All,13,59997,848.13%,"$924,911 ",196.26%
2013-14,All,14,59881,846.49%,"$1,069,064 ",226.85%
2013-14,All,15,57231,809.03%,"$1,232,404 ",261.51%
2013-14,All,16,55639,786.53%,"$1,252,130 ",265.70%
2013-14,All,17,47963,678.02%,"$1,132,185 ",240.24%
2013-14,All,18,21925,309.94%,"$484,214 ",102.75%
2013-14,All,19,5138,72.63%,"$32,565 ",6.91%
2013-14,All,20,5318,75.18%,"$16,690 ",3.54%
2013-14,All,Unknown,14478,204.66%,$0 ,0.00%
2013-14,All,TOTAL,1911514,100.00%,"$39,490,530 ",100.00%
2013-14,FFS,0,122211,1727.61%,"$9,739,655 ",2066.70%
2013-14,FFS,1,25560,361.32%,"$2,202,340 ",467.33%
2013-14,FFS,2,15193,214.77%,"$938,411 ",199.13%
2013-14,FFS,3,12363,174.77%,"$723,324 ",153.49%
2013-14,FFS,4,14450,204.27%,"$1,089,036 ",231.09%
2013-14,FFS,5,10161,143.64%,"$631,418 ",133.98%
2013-14,FFS,6,8245,116.55%,"$491,523 ",104.30%
2013-14,FFS,7,6423,90.80%,"$355,188 ",75.37%
2013-14,FFS,8,5684,80.35%,"$300,840 ",63.84%
2013-14,FFS,9,5520,78.03%,"$302,477 ",64.18%
2013-14,FFS,10,5354,75.69%,"$306,397 ",65.02%
2013-14,FFS,11,7583,107.20%,"$470,546 ",99.85%
2013-14,FFS,12,6957,98.35%,"$425,221 ",90.23%
2013-14,FFS,13,5265,74.43%,"$325,237 ",69.01%
2013-14,FFS,14,5444,76.96%,"$344,748 ",73.15%
2013-14,FFS,15,5185,73.30%,"$343,132 ",72.81%
2013-14,FFS,16,5087,71.91%,"$347,738 ",73.79%
2013-14,FFS,17,4603,65.07%,"$314,455 ",66.73%
2013-14,FFS,18,1793,25.35%,"$109,460 ",23.23%
2013-14,FFS,19,524,7.41%,"$32,565 ",6.91%
2013-14,FFS,20,317,4.48%,"$16,690 ",3.54%
2013-14,FFS,Unknown,0,0.00%,$0 ,0.00%
2013-14,FFS,TOTAL,273922,3872.24%,"$19,810,401 ",4203.66%
2013-14,GFS,0,89346,1263.02%,"$8,122,458 ",1723.54%
2013-14,GFS,1,17149,242.42%,"$1,621,400 ",344.05%
2013-14,GFS,2,9278,131.16%,"$596,244 ",126.52%
2013-14,GFS,3,7453,105.36%,"$473,338 ",100.44%
2013-14,GFS,4,10265,145.11%,"$855,934 ",181.62%
2013-14,GFS,5,7570,107.01%,"$586,173 ",124.38%
2013-14,GFS,6,5571,78.75%,"$404,199 ",85.77%
2013-14,GFS,7,4025,56.90%,"$279,570 ",59.32%
2013-14,GFS,8,3686,52.11%,"$254,212 ",53.94%
2013-14,GFS,9,3897,55.09%,"$276,439 ",58.66%
2013-14,GFS,10,3916,55.36%,"$281,600 ",59.75%
2013-14,GFS,11,6611,93.45%,"$493,526 ",104.72%
2013-14,GFS,12,7444,105.23%,"$571,377 ",121.24%
2013-14,GFS,13,6119,86.50%,"$483,368 ",102.57%
2013-14,GFS,14,7124,100.71%,"$578,845 ",122.83%
2013-14,GFS,15,8788,124.23%,"$739,146 ",156.84%
2013-14,GFS,16,9118,128.89%,"$760,748 ",161.43%
2013-14,GFS,17,8326,117.70%,"$701,589 ",148.87%
2013-14,GFS,18,3860,54.57%,"$329,252 ",69.87%
2013-14,GFS,19,0,0.00%,$0 ,0.00%
2013-14,GFS,20,0,0.00%,$0 ,0.00%
2013-14,GFS,Unknown,0,0.00%,$0 ,0.00%
2013-14,GFS,TOTAL,219546,3103.56%,"$18,409,418 ",3906.38%
2013-14,SFS,0,91,1.29%,"$7,374 ",1.56%
2013-14,SFS,1,179,0.98%,"$16,449 ",0.98%
2013-14,SFS,2,184,1.01%,"$13,687 ",1.01%
2013-14,SFS,3,215,1.18%,"$15,650 ",1.18%
2013-14,SFS,4,333,1.83%,"$28,101 ",1.83%
2013-14,SFS,5,221,1.21%,"$14,995 ",1.21%
2013-14,SFS,6,262,1.44%,"$17,566 ",1.44%
2013-14,SFS,7,364,2.00%,"$22,095 ",2.00%
2013-14,SFS,8,484,2.65%,"$29,124 ",2.65%
2013-14,SFS,9,681,3.73%,"$41,913 ",3.73%
2013-14,SFS,10,931,5.10%,"$60,237 ",5.10%
2013-14,SFS,11,2083,11.42%,"$145,621 ",11.42%
2013-14,SFS,12,2091,11.46%,"$140,709 ",11.46%
2013-14,SFS,13,1702,9.33%,"$116,306 ",9.33%
2013-14,SFS,14,2057,11.28%,"$145,471 ",11.28%
2013-14,SFS,15,2121,11.63%,"$150,126 ",11.63%
2013-14,SFS,16,2013,11.04%,"$143,644 ",11.04%
2013-14,SFS,17,1595,8.74%,"$116,141 ",8.74%
2013-14,SFS,18,634,3.48%,"$45,502 ",3.48%
2013-14,SFS,19,0,0.00%,$0 ,0.00%
2013-14,SFS,20,0,0.00%,$0 ,0.00%
2013-14,SFS,Unknown,0,0.00%,$0 ,0.00%
2013-14,SFS,TOTAL,18241,100.00%,"$1,270,711 ",100.00%
2013-14,IFS,0,204325,14.60%,$0 ,0.00%
2013-14,IFS,1,172986,12.36%,$0 ,0.00%
2013-14,IFS,2,98048,7.00%,$0 ,0.00%
2013-14,IFS,3,89753,6.41%,$0 ,0.00%
2013-14,IFS,4,108671,7.76%,$0 ,0.00%
2013-14,IFS,5,82974,5.93%,$0 ,0.00%
2013-14,IFS,6,68742,4.91%,$0 ,0.00%
2013-14,IFS,7,54718,3.91%,$0 ,0.00%
2013-14,IFS,8,49917,3.57%,$0 ,0.00%
2013-14,IFS,9,47900,3.42%,$0 ,0.00%
2013-14,IFS,10,45723,3.27%,$0 ,0.00%
2013-14,IFS,11,68541,4.90%,$0 ,0.00%
2013-14,IFS,12,61612,4.40%,$0 ,0.00%
2013-14,IFS,13,46911,3.35%,$0 ,0.00%
2013-14,IFS,14,45256,3.23%,$0 ,0.00%
2013-14,IFS,15,41137,2.94%,$0 ,0.00%
2013-14,IFS,16,39421,2.82%,$0 ,0.00%
2013-14,IFS,17,33439,2.39%,$0 ,0.00%
2013-14,IFS,18,15638,1.12%,$0 ,0.00%
2013-14,IFS,19,4614,0.33%,$0 ,0.00%
2013-14,IFS,20,5001,0.36%,$0 ,0.00%
2013-14,IFS,Unknown,14478,1.03%,$0 ,0.00%
2013-14,IFS,TOTAL,1399805,100.00%,$0 ,0.00%
2008-2009,All,11,66341,2.89%,"$1,519,587 ",2.65%
2008-2009,All,12,59625,2.60%,"$1,422,887 ",2.48%
2008-2009,All,13,56483,2.46%,"$1,415,222 ",2.46%
2008-2009,All,14,59342,2.59%,"$1,613,489 ",2.81%
2008-2009,All,15,56738,2.48%,"$1,618,131 ",2.82%
2008-2009,All,16,52229,2.28%,"$1,547,262 ",2.69%
2008-2009,All,17,46061,2.01%,"$1,436,824 ",2.50%
2008-2009,All,18,23903,1.04%,"$983,974 ",1.71%
2008-2009,All,19,5615,0.25%,"$54,615 ",0.10%
2008-2009,All,20,8471,0.37%,"$30,132 ",0.05%
2008-2009,All,Unknown,1063,0.05%,$0 ,0.00%
2008-2009,All,TOTAL,2291689,100.00%,"$57,436,517 ",100.00%
2008-2009,FFS,0,169699,41.75%,"$14,450,511 ",45.16%
2008-2009,FFS,1,48823,12.01%,"$5,157,938 ",16.12%
2008-2009,FFS,2,29241,7.19%,"$2,019,526 ",6.31%
2008-2009,FFS,3,24093,5.93%,"$1,469,429 ",4.59%
2008-2009,FFS,4,24753,6.09%,"$2,027,933 ",6.34%
2008-2009,FFS,5,15196,3.74%,"$936,424 ",2.93%
2008-2009,FFS,6,11394,2.80%,"$673,727 ",2.11%
2008-2009,FFS,7,8546,2.10%,"$476,159 ",1.49%
2008-2009,FFS,8,7901,1.94%,"$431,148 ",1.35%
2008-2009,FFS,9,7409,1.82%,"$413,673 ",1.29%
2008-2009,FFS,10,6599,1.62%,"$379,350 ",1.19%
2008-2009,FFS,11,8102,1.99%,"$522,681 ",1.63%
2008-2009,FFS,12,7074,1.74%,"$471,265 ",1.47%
2008-2009,FFS,13,6910,1.70%,"$458,562 ",1.43%
2008-2009,FFS,14,7199,1.77%,"$498,049 ",1.56%
2008-2009,FFS,15,7084,1.74%,"$489,349 ",1.53%
2008-2009,FFS,16,6577,1.62%,"$460,928 ",1.44%
2008-2009,FFS,17,6056,1.49%,"$420,366 ",1.31%
2008-2009,FFS,18,2507,0.62%,"$153,478 ",0.48%
2008-2009,FFS,19,871,0.21%,"$54,615 ",0.17%
2008-2009,FFS,20,470,0.12%,"$30,132 ",0.09%
2008-2009,FFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,FFS,TOTAL,406504,100.00%,"$31,995,243 ",100.00%
2008-2009,GFS,0,91612,33.09%,"$7,363,856 ",31.33%
2008-2009,GFS,1,22723,8.21%,"$2,061,059 ",8.77%
2008-2009,GFS,2,13412,4.84%,"$947,086 ",4.03%
2008-2009,GFS,3,11876,4.29%,"$851,230 ",3.62%
2008-2009,GFS,4,15590,5.63%,"$1,448,444 ",6.16%
2008-2009,GFS,5,11367,4.11%,"$939,686 ",4.00%
2008-2009,GFS,6,8853,3.20%,"$682,612 ",2.90%
2008-2009,GFS,7,7015,2.53%,"$536,440 ",2.28%
2008-2009,GFS,8,6660,2.41%,"$511,291 ",2.18%
2008-2009,GFS,9,7213,2.61%,"$565,722 ",2.41%
2008-2009,GFS,10,7941,2.87%,"$639,751 ",2.72%
2008-2009,GFS,11,9249,3.34%,"$809,911 ",3.45%
2008-2009,GFS,12,8440,3.05%,"$794,888 ",3.38%
2008-2009,GFS,13,8514,3.08%,"$810,785 ",3.45%
2008-2009,GFS,14,9912,3.58%,"$952,989 ",4.05%
2008-2009,GFS,15,10147,3.67%,"$975,230 ",4.15%
2008-2009,GFS,16,9842,3.56%,"$944,815 ",4.02%
2008-2009,GFS,17,9235,3.34%,"$896,395 ",3.81%
2008-2009,GFS,18,7243,2.62%,"$773,596 ",3.29%
2008-2009,GFS,19,0,0.00%,$0 ,0.00%
2008-2009,GFS,20,0,0.00%,$0 ,0.00%
2008-2009,GFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,GFS,TOTAL,276844,100.00%,"$23,505,786 ",100.00%
2008-2009,SFS,0,365,1.41%,"$26,400 ",1.36%
2008-2009,SFS,1,481,1.86%,"$43,309 ",2.24%
2008-2009,SFS,2,447,1.73%,"$32,795 ",1.69%
2008-2009,SFS,3,642,2.48%,"$45,863 ",2.37%
2008-2009,SFS,4,1215,4.70%,"$106,128 ",5.48%
2008-2009,SFS,5,1003,3.88%,"$69,405 ",3.59%
2008-2009,SFS,6,1235,4.78%,"$83,757 ",4.33%
2008-2009,SFS,7,1199,4.64%,"$81,105 ",4.19%
2008-2009,SFS,8,1309,5.06%,"$86,345 ",4.46%
2008-2009,SFS,9,1657,6.41%,"$109,327 ",5.65%
2008-2009,SFS,10,1837,7.10%,"$126,965 ",6.56%
2008-2009,SFS,11,2543,9.83%,"$186,995 ",9.66%
2008-2009,SFS,12,2044,7.90%,"$156,734 ",8.10%
2008-2009,SFS,13,1869,7.23%,"$145,875 ",7.54%
2008-2009,SFS,14,2083,8.05%,"$162,451 ",8.39%
2008-2009,SFS,15,1957,7.57%,"$153,552 ",7.93%
2008-2009,SFS,16,1796,6.94%,"$141,519 ",7.31%
2008-2009,SFS,17,1478,5.71%,"$120,063 ",6.20%
2008-2009,SFS,18,703,2.72%,"$56,900 ",2.94%
2008-2009,SFS,19,0,0.00%,$0 ,0.00%
2008-2009,SFS,20,0,0.00%,$0 ,0.00%
2008-2009,SFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,SFS,TOTAL,25863,100.00%,"$1,935,488 ",100.00%
2008-2009,IFS,0,296081,18.72%,$0 ,0.00%
2008-2009,IFS,1,242967,15.36%,$0 ,0.00%
2008-2009,IFS,2,147889,9.35%,$0 ,0.00%
2008-2009,IFS,3,124618,7.88%,$0 ,0.00%
2008-2009,IFS,4,134477,8.50%,$0 ,0.00%
2008-2009,IFS,5,90684,5.73%,$0 ,0.00%
2008-2009,IFS,6,68753,4.35%,$0 ,0.00%
2008-2009,IFS,7,51266,3.24%,$0 ,0.00%
2008-2009,IFS,8,46534,2.94%,$0 ,0.00%
2008-2009,IFS,9,43946,2.78%,$0 ,0.00%
2008-2009,IFS,10,39297,2.48%,$0 ,0.00%
2008-2009,IFS,11,46447,2.94%,$0 ,0.00%
2008-2009,IFS,12,42067,2.66%,$0 ,0.00%
2008-2009,IFS,13,39190,2.48%,$0 ,0.00%
2008-2009,IFS,14,40148,2.54%,$0 ,0.00%
2008-2009,IFS,15,37550,2.37%,$0 ,0.00%
2008-2009,IFS,16,34014,2.15%,$0 ,0.00%
2008-2009,IFS,17,29292,1.85%,$0 ,0.00%
2008-2009,IFS,18,13450,0.85%,$0 ,0.00%
2008-2009,IFS,19,4744,0.30%,$0 ,0.00%
2008-2009,IFS,20,8001,0.51%,$0 ,0.00%
2008-2009,IFS,UNKNOWN,1063,0.07%,$0 ,0.00%
2008-2009,IFS,TOTAL,1581415,100.00%,$0 ,0.00%
2009-2010,All,0,557757,24.34%,"$21,840,767 ",38.03%
2009-2010,All,1,314994,13.75%,"$7,262,306 ",12.64%
2009-2010,All,2,190989,8.33%,"$2,999,407 ",5.22%
2009-2010,All,3,161229,7.04%,"$2,366,522 ",4.12%
2009-2010,All,4,176035,7.68%,"$3,582,505 ",6.24%
2009-2010,All,5,118250,5.16%,"$1,945,515 ",3.39%
2009-2010,All,6,90235,3.94%,"$1,440,096 ",2.51%
2009-2010,All,7,68026,2.97%,"$1,093,704 ",1.90%
2009-2010,All,8,62404,2.72%,"$1,028,784 ",1.79%
2009-2010,All,9,60225,2.63%,"$1,088,722 ",1.90%
2009-2010,All,10,55674,2.43%,"$1,146,066 ",2.00%
2009-2010,All,11,66341,2.89%,"$1,519,587 ",2.65%
2009-2010,All,12,59625,2.60%,"$1,422,887 ",2.48%
2009-2010,All,13,56483,2.46%,"$1,415,222 ",2.46%
2009-2010,All,14,59342,2.59%,"$1,613,489 ",2.81%
2009-2010,All,15,56738,2.48%,"$1,618,131 ",2.82%
2009-2010,All,16,52229,2.28%,"$1,547,262 ",2.69%
2009-2010,All,17,46061,2.01%,"$1,436,824 ",2.50%
2009-2010,All,18,23903,1.04%,"$983,974 ",1.71%
2009-2010,All,19,5615,0.25%,"$54,615 ",0.10%
2009-2010,All,20,8471,0.37%,"$30,132 ",0.05%
2009-2010,All,UNKNOWN,1063,0.05%,$0 ,0.00%
2009-2010,All,TOTAL,2291689,100.00%,"$57,436,517 ",100.00%
2009-2010,FFS,0,169699,41.75%,"$14,450,511 ",45.16%
2009-2010,FFS,1,48823,12.01%,"$5,157,938 ",16.12%
2009-2010,FFS,2,29241,7.19%,"$2,019,526 ",6.31%
2009-2010,FFS,3,24093,5.93%,"$1,469,429 ",4.59%
2009-2010,FFS,4,24753,6.09%,"$2,027,933 ",6.34%
2009-2010,FFS,5,15196,3.74%,"$936,424 ",2.93%
2009-2010,FFS,6,11394,2.80%,"$673,727 ",2.11%
2009-2010,FFS,7,8546,2.10%,"$476,159 ",1.49%
2009-2010,FFS,8,7901,1.94%,"$431,148 ",1.35%
2009-2010,FFS,9,7409,1.82%,"$413,673 ",1.29%
2009-2010,FFS,10,6599,1.62%,"$379,350 ",1.19%
2009-2010,FFS,11,8102,1.99%,"$522,681 ",1.63%
2009-2010,FFS,12,7074,1.74%,"$471,265 ",1.47%
2009-2010,FFS,13,6910,1.70%,"$458,562 ",1.43%
2009-2010,FFS,14,7199,1.77%,"$498,049 ",1.56%
2009-2010,FFS,15,7084,1.74%,"$489,349 ",1.53%
2009-2010,FFS,16,6577,1.62%,"$460,928 ",1.44%
2009-2010,FFS,17,6056,1.49%,"$420,366 ",1.31%
2009-2010,FFS,18,2507,0.62%,"$153,478 ",0.48%
2009-2010,FFS,19,871,0.21%,"$54,615 ",0.17%
2009-2010,FFS,20,470,0.12%,"$30,132 ",0.09%
2009-2010,FFS,UNKNOWN,0,0.00%,$0 ,0.00%
2009-2010,FFS,TOTAL,406504,100.00%,"$31,995,243 ",100.00%
2009-2010,GFS,0,91612,33.09%,"$7,363,856 ",31.33%
2009-2010,GFS,1,22723,8.21%,"$2,061,059 ",8.77%
2009-2010,GFS,2,13412,4.84%,"$947,086 ",4.03%
2009-2010,GFS,3,11876,4.29%,"$851,230 ",3.62%
2009-2010,GFS,4,15590,5.63%,"$1,448,444 ",6.16%
2009-2010,GFS,5,11367,4.11%,"$939,686 ",4.00%
