IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH
CONFISCATE,BITE,2,2008,9
CONFISCATE,CHAINING,12,2008,9
CONFISCATE,DANGER DOG,1,2008,9
CONFISCATE,NEGLECT,12,2008,9
CONFISCATE,POTDANGER,1,2008,9
CONFISCATE,UNPERMITED,8,2008,9
EUTH REQ,OTC OWNED,58,2008,9
OUTSURGERY,,49,2008,9
OWNER SUR,FIELD,110,2008,9
OWNER SUR,OTC,279,2008,9
QUARANTINE,MAS,10,2008,9
QUARANTINE,STRAY,1,2008,9
RETURN,OTC,15,2008,9
STRAY,FIELD,541,2008,9
STRAY,OTC,429,2008,9
TRANSFER,AN CONTROL,1,2008,9
CONFISCATE,ABANDONED,9,2008,10
CONFISCATE,BITE,2,2008,10
CONFISCATE,CHAINING,8,2008,10
CONFISCATE,CRUELTY,1,2008,10
CONFISCATE,DANGER DOG,1,2008,10
CONFISCATE,NEGLECT,33,2008,10
CONFISCATE,POTDANGER,2,2008,10
CONFISCATE,UNPERMITED,22,2008,10
EUTH REQ,,2,2008,10
EUTH REQ,FIELD OWN,11,2008,10
EUTH REQ,OTC OWNED,46,2008,10
INVESTIGAT,,1,2008,10
OUTSURGERY,,93,2008,10
OWNER SUR,FIELD,50,2008,10
OWNER SUR,OTC,272,2008,10
QUARANTINE,MAS,8,2008,10
QUARANTINE,STRAY,1,2008,10
RETURN,OTC,22,2008,10
STRAY,FIELD,443,2008,10
STRAY,OTC,430,2008,10
CONFISCATE,,1,2008,11
CONFISCATE,ABANDONED,5,2008,11
CONFISCATE,CHAINING,14,2008,11
CONFISCATE,CRUELTY,6,2008,11
CONFISCATE,NEGLECT,33,2008,11
CONFISCATE,UNPERMITED,66,2008,11
EUTH REQ,FIELD OWN,7,2008,11
EUTH REQ,OTC OWNED,46,2008,11
OUTSURGERY,,88,2008,11
OWNER SUR,EUTH REQ,1,2008,11
OWNER SUR,FIELD,32,2008,11
OWNER SUR,OTC,283,2008,11
QUARANTINE,MAS,9,2008,11
QUARANTINE,OWNER,2,2008,11
QUARANTINE,STRAY,3,2008,11
RETURN,FIELD,1,2008,11
RETURN,OTC,13,2008,11
STRAY,FIELD,345,2008,11
STRAY,OTC,373,2008,11
CONFISCATE,ABANDONED,5,2008,12
CONFISCATE,CHAINING,15,2008,12
CONFISCATE,DANGER DOG,1,2008,12
CONFISCATE,NEGLECT,16,2008,12
CONFISCATE,POLICE,3,2008,12
CONFISCATE,UNPERMITED,59,2008,12
EUTH REQ,FIELD OWN,2,2008,12
EUTH REQ,OTC OWNED,41,2008,12
OUTSURGERY,,103,2008,12
OWNER SUR,FIELD,42,2008,12
OWNER SUR,OTC,202,2008,12
QUARANTINE,MAS,5,2008,12
QUARANTINE,OWNER,1,2008,12
QUARANTINE,STRAY,3,2008,12
RETURN,OTC,12,2008,12
STRAY,FIELD,316,2008,12
STRAY,OTC,230,2008,12
CONFISCATE,,5,2009,1
CONFISCATE,ABANDONED,6,2009,1
CONFISCATE,CHAINING,24,2009,1
CONFISCATE,NEGLECT,23,2009,1
CONFISCATE,UNPERMITED,24,2009,1
EUTH REQ,FIELD OWN,4,2009,1
EUTH REQ,OTC OWNED,41,2009,1
INVESTIGAT,POTDANGER,1,2009,1
OUTSURGERY,,84,2009,1
OWNER SUR,FIELD,55,2009,1
OWNER SUR,OTC,179,2009,1
QUARANTINE,MAS,3,2009,1
QUARANTINE,OWNER,2,2009,1
QUARANTINE,STRAY,4,2009,1
RETURN,,1,2009,1
RETURN,FIELD,2,2009,1
RETURN,OTC,31,2009,1
STRAY,FIELD,293,2009,1
STRAY,OTC,217,2009,1
CONFISCATE,ABANDONED,5,2009,2
CONFISCATE,BITE,1,2009,2
CONFISCATE,CHAINING,11,2009,2
CONFISCATE,CRUELTY,2,2009,2
CONFISCATE,EVICTION,1,2009,2
CONFISCATE,NEGLECT,17,2009,2
CONFISCATE,UNPERMITED,46,2009,2
EUTH REQ,FIELD OWN,13,2009,2
EUTH REQ,OTC OWNED,36,2009,2
OUTSURGERY,,103,2009,2
OWNER SUR,,1,2009,2
OWNER SUR,FIELD,44,2009,2
OWNER SUR,OTC,157,2009,2
QUARANTINE,MAS,2,2009,2
QUARANTINE,OWNER,1,2009,2
QUARANTINE,STRAY,1,2009,2
RETURN,FIELD,2,2009,2
RETURN,OTC,12,2009,2
STRAY,FIELD,314,2009,2
STRAY,OTC,194,2009,2
CONFISCATE,,1,2009,3
CONFISCATE,ABANDONED,3,2009,3
CONFISCATE,BITE,1,2009,3
CONFISCATE,CHAINING,15,2009,3
CONFISCATE,NEGLECT,15,2009,3
CONFISCATE,OWNER DIED,1,2009,3
CONFISCATE,POLICE,3,2009,3
CONFISCATE,POTDANGER,10,2009,3
CONFISCATE,UNPERMITED,28,2009,3
EUTH REQ,FIELD OWN,7,2009,3
EUTH REQ,OTC OWNED,46,2009,3
OUTSURGERY,,93,2009,3
OWNER SUR,FIELD,64,2009,3
OWNER SUR,OTC,133,2009,3
QUARANTINE,MAS,10,2009,3
QUARANTINE,OWNER,6,2009,3
QUARANTINE,STRAY,2,2009,3
RETURN,,1,2009,3
RETURN,OTC,35,2009,3
STRAY,FIELD,346,2009,3
STRAY,OTC,262,2009,3
CONFISCATE,,2,2009,4
CONFISCATE,ABANDONED,3,2009,4
CONFISCATE,CHAINING,50,2009,4
CONFISCATE,DANGER DOG,2,2009,4
CONFISCATE,EVICTION,1,2009,4
CONFISCATE,NEGLECT,14,2009,4
CONFISCATE,POTDANGER,3,2009,4
CONFISCATE,RESTRAINT,2,2009,4
CONFISCATE,UNPERMITED,29,2009,4
EUTH REQ,FIELD OWN,4,2009,4
EUTH REQ,OTC OWNED,56,2009,4
OUTSURGERY,,82,2009,4
OWNER SUR,FIELD,53,2009,4
OWNER SUR,OTC,165,2009,4
QUARANTINE,MAS,13,2009,4
QUARANTINE,STRAY,1,2009,4
RETURN,,2,2009,4
RETURN,OTC,25,2009,4
STRAY,FIELD,387,2009,4
STRAY,OTC,316,2009,4
TRANSFER,AN CONTROL,1,2009,4
CONFISCATE,,5,2009,5
CONFISCATE,ABANDONED,2,2009,5
CONFISCATE,CHAINING,17,2009,5
CONFISCATE,NEGLECT,32,2009,5
CONFISCATE,POTDANGER,3,2009,5
CONFISCATE,RESTRAINT,10,2009,5
CONFISCATE,UNPERMITED,16,2009,5
EUTH REQ,FIELD OWN,6,2009,5
EUTH REQ,OTC OWNED,72,2009,5
INVESTIGAT,POTDANGER,1,2009,5
OUTSURGERY,,62,2009,5
OWNER SUR,,1,2009,5
OWNER SUR,FIELD,48,2009,5
OWNER SUR,OTC,245,2009,5
QUARANTINE,MAS,20,2009,5
QUARANTINE,STRAY,3,2009,5
RETURN,FIELD,1,2009,5
RETURN,OTC,24,2009,5
STRAY,FIELD,429,2009,5
STRAY,OTC,471,2009,5
CONFISCATE,,8,2009,6
CONFISCATE,CHAINING,13,2009,6
CONFISCATE,CRUELTY,3,2009,6
CONFISCATE,NEGLECT,58,2009,6
CONFISCATE,POLICE,2,2009,6
CONFISCATE,POTDANGER,1,2009,6
CONFISCATE,RESTRAINT,5,2009,6
CONFISCATE,UNPERMITED,13,2009,6
EUTH REQ,,1,2009,6
EUTH REQ,FIELD OWN,10,2009,6
EUTH REQ,OTC OWNED,76,2009,6
INVESTIGAT,POTDANGER,1,2009,6
MED OBSERV,,1,2009,6
OUTSURGERY,,91,2009,6
OUTSURGERY,STRAY,1,2009,6
OWNER SUR,,2,2009,6
OWNER SUR,FIELD,40,2009,6
OWNER SUR,OTC,287,2009,6
QUARANTINE,,2,2009,6
QUARANTINE,MAS,14,2009,6
QUARANTINE,STRAY,1,2009,6
RETURN,FIELD,2,2009,6
RETURN,OTC,27,2009,6
STRAY,FIELD,563,2009,6
STRAY,OTC,503,2009,6
CONFISCATE,,6,2009,7
CONFISCATE,BITE,1,2009,7
CONFISCATE,CHAINING,6,2009,7
CONFISCATE,DANGER DOG,1,2009,7
CONFISCATE,EVICTION,1,2009,7
CONFISCATE,NEGLECT,86,2009,7
CONFISCATE,RESTRAINT,30,2009,7
CONFISCATE,UNPERMITED,8,2009,7
EUTH REQ,,1,2009,7
EUTH REQ,FIELD OWN,8,2009,7
EUTH REQ,OTC OWNED,78,2009,7
INVESTIGAT,POTDANGER,1,2009,7
KHS,STRAY,1,2009,7
OUTSURGERY,,50,2009,7
OWNER SUR,,1,2009,7
OWNER SUR,FIELD,37,2009,7
OWNER SUR,OTC,220,2009,7
QUARANTINE,,1,2009,7
QUARANTINE,MAS,35,2009,7
QUARANTINE,STRAY,4,2009,7
RETURN,FIELD,2,2009,7
RETURN,OTC,19,2009,7
STRAY,,1,2009,7
STRAY,FIELD,537,2009,7
STRAY,OTC,547,2009,7
CONFISCATE,,7,2009,8
CONFISCATE,CHAINING,11,2009,8
CONFISCATE,NEGLECT,15,2009,8
CONFISCATE,POLICE,2,2009,8
CONFISCATE,POTDANGER,1,2009,8
CONFISCATE,RESTRAINT,5,2009,8
CONFISCATE,UNPERMITED,4,2009,8
EUTH REQ,FIELD OWN,8,2009,8
EUTH REQ,OTC OWNED,58,2009,8
OUTSURGERY,,20,2009,8
OWNER SUR,FIELD,37,2009,8
OWNER SUR,OTC,260,2009,8
QUARANTINE,MAS,13,2009,8
QUARANTINE,OWNER,1,2009,8
RETURN,FIELD,2,2009,8
RETURN,OTC,19,2009,8
STRAY,FIELD,496,2009,8
STRAY,OTC,419,2009,8
CONFISCATE,BITE,2,2009,9
CONFISCATE,CHAINING,20,2009,9
CONFISCATE,CRUELTY,2,2009,9
CONFISCATE,EVICTION,1,2009,9
CONFISCATE,NEGLECT,19,2009,9
CONFISCATE,POLICE,1,2009,9
CONFISCATE,POTDANGER,2,2009,9
CONFISCATE,RESTRAINT,10,2009,9
CONFISCATE,UNPERMITED,2,2009,9
EUTH REQ,FIELD OWN,7,2009,9
EUTH REQ,OTC OWNED,42,2009,9
OUTSURGERY,,40,2009,9
OWNER SUR,FIELD,52,2009,9
OWNER SUR,OTC,285,2009,9
QUARANTINE,MAS,9,2009,9
QUARANTINE,OWNER,1,2009,9
QUARANTINE,STRAY,2,2009,9
RETURN,FIELD,1,2009,9
RETURN,OTC,17,2009,9
STRAY,FIELD,426,2009,9
STRAY,OTC,487,2009,9
CONFISCATE,CHAINING,8,2009,10
CONFISCATE,DANGER DOG,2,2009,10
CONFISCATE,NEGLECT,74,2009,10
CONFISCATE,RESTRAINT,4,2009,10
CONFISCATE,UNPERMITED,3,2009,10
EUTH REQ,FIELD OWN,3,2009,10
EUTH REQ,OTC OWNED,48,2009,10
OUTSURGERY,,63,2009,10
OWNER SUR,,3,2009,10
OWNER SUR,FIELD,25,2009,10
OWNER SUR,OTC,265,2009,10
QUARANTINE,MAS,13,2009,10
QUARANTINE,STRAY,1,2009,10
RETURN,,1,2009,10
RETURN,FIELD,1,2009,10
RETURN,OTC,21,2009,10
STRAY,,5,2009,10
STRAY,FIELD,419,2009,10
STRAY,OTC,464,2009,10
CONFISCATE,,1,2009,11
CONFISCATE,BITE,1,2009,11
CONFISCATE,CHAINING,5,2009,11
CONFISCATE,CRUELTY,1,2009,11
CONFISCATE,NEGLECT,15,2009,11
CONFISCATE,POLICE,1,2009,11
EUTH REQ,FIELD OWN,8,2009,11
EUTH REQ,OTC OWNED,46,2009,11
OUTSURGERY,,42,2009,11
OWNER SUR,,1,2009,11
OWNER SUR,FIELD,31,2009,11
OWNER SUR,OTC,184,2009,11
QUARANTINE,MAS,8,2009,11
QUARANTINE,STRAY,4,2009,11
RETURN,FIELD,1,2009,11
RETURN,OTC,33,2009,11
STRAY,FIELD,339,2009,11
STRAY,OTC,313,2009,11
CONFISCATE,ABANDONED,1,2009,12
CONFISCATE,CHAINING,8,2009,12
CONFISCATE,NEGLECT,4,2009,12
CONFISCATE,POLICE,1,2009,12
CONFISCATE,RESTRAINT,1,2009,12
EUTH REQ,FIELD OWN,3,2009,12
EUTH REQ,OTC OWNED,49,2009,12
OUTSURGERY,,47,2009,12
OUTSURGERY,NEUTER,1,2009,12
OWNER SUR,,2,2009,12
OWNER SUR,FIELD,36,2009,12
OWNER SUR,OTC,199,2009,12
QUARANTINE,MAS,3,2009,12
QUARANTINE,OWNER,1,2009,12
RETURN,,1,2009,12
RETURN,FIELD,1,2009,12
RETURN,FOSTER,1,2009,12
RETURN,OTC,11,2009,12
STRAY,FIELD,253,2009,12
STRAY,OTC,267,2009,12
CONFISCATE,,2,2010,1
CONFISCATE,ABANDONED,3,2010,1
CONFISCATE,CHAINING,3,2010,1
CONFISCATE,CRUELTY,1,2010,1
CONFISCATE,DANGER DOG,1,2010,1
CONFISCATE,NEGLECT,8,2010,1
CONFISCATE,POLICE,1,2010,1
CONFISCATE,POTDANGER,2,2010,1
CONFISCATE,RESTRAINT,1,2010,1
EUTH REQ,,1,2010,1
EUTH REQ,FIELD OWN,8,2010,1
EUTH REQ,OTC OWNED,40,2010,1
INVESTIGAT,POTDANGER,1,2010,1
KHS,,1,2010,1
OUTSURGERY,,29,2010,1
OWNER SUR,FIELD,63,2010,1
OWNER SUR,OTC,144,2010,1
RETURN,FIELD,2,2010,1
RETURN,OTC,21,2010,1
STRAY,FIELD,270,2010,1
STRAY,OTC,208,2010,1
TRANSFER,AN CONTROL,1,2010,1
CONFISCATE,BITE,1,2010,2
CONFISCATE,CHAINING,1,2010,2
CONFISCATE,DANGER DOG,2,2010,2
CONFISCATE,NEGLECT,19,2010,2
CONFISCATE,POLICE,1,2010,2
CONFISCATE,POTDANGER,1,2010,2
CONFISCATE,RESTRAINT,4,2010,2
EUTH REQ,FIELD OWN,2,2010,2
EUTH REQ,OTC OWNED,29,2010,2
KHS,STRAY,3,2010,2
OUTSURGERY,,49,2010,2
OWNER SUR,,1,2010,2
OWNER SUR,FIELD,37,2010,2
OWNER SUR,OTC,169,2010,2
QUARANTINE,MAS,5,2010,2
QUARANTINE,OWNER,1,2010,2
QUARANTINE,STRAY,4,2010,2
RETURN,FIELD,5,2010,2
RETURN,OTC,14,2010,2
STRAY,FIELD,258,2010,2
STRAY,OTC,199,2010,2
TRANSFER,AN CONTROL,1,2010,2
CONFISCATE,ABANDONED,5,2010,3
CONFISCATE,CHAINING,7,2010,3
CONFISCATE,CRUELTY,2,2010,3
CONFISCATE,NEGLECT,8,2010,3
CONFISCATE,OWNER DIED,1,2010,3
CONFISCATE,POLICE,1,2010,3
CONFISCATE,POTDANGER,2,2010,3
EUTH REQ,FIELD OWN,11,2010,3
EUTH REQ,OTC OWNED,52,2010,3
FOSTER,RETURN,1,2010,3
OUTSURGERY,,49,2010,3
OUTSURGERY,NEUTER,4,2010,3
OWNER SUR,FIELD,63,2010,3
OWNER SUR,OTC,169,2010,3
QUARANTINE,MAS,7,2010,3
QUARANTINE,OWNER,2,2010,3
RETURN,OTC,31,2010,3
STRAY,FIELD,377,2010,3
STRAY,OTC,275,2010,3
TRANSFER,AN CONTROL,1,2010,3
CONFISCATE,ABANDONED,1,2010,4
CONFISCATE,BITE,1,2010,4
CONFISCATE,CHAINING,4,2010,4
CONFISCATE,CRUELTY,1,2010,4
CONFISCATE,DANGER DOG,1,2010,4
CONFISCATE,NEGLECT,10,2010,4
CONFISCATE,RESTRAINT,8,2010,4
EUTH REQ,,1,2010,4
EUTH REQ,FIELD OWN,7,2010,4
EUTH REQ,OTC OWNED,45,2010,4
OUTSURGERY,,53,2010,4
OWNER SUR,,3,2010,4
OWNER SUR,FIELD,93,2010,4
OWNER SUR,OTC,163,2010,4
QUARANTINE,MAS,4,2010,4
RETURN,ADOPTION,2,2010,4
RETURN,OTC,18,2010,4
STRAY,,2,2010,4
STRAY,FIELD,444,2010,4
STRAY,OTC,330,2010,4
CONFISCATE,ABANDONED,5,2010,5
CONFISCATE,BITE,3,2010,5
CONFISCATE,CHAINING,5,2010,5
CONFISCATE,NEGLECT,28,2010,5
CONFISCATE,POTDANGER,2,2010,5
CONFISCATE,RESTRAINT,5,2010,5
CONFISCATE,UNPERMITED,6,2010,5
EUTH REQ,,3,2010,5
EUTH REQ,FIELD OWN,7,2010,5
EUTH REQ,OTC OWNED,43,2010,5
INVESTIGAT,POTDANGER,1,2010,5
OUTSURGERY,,51,2010,5
OWNER SUR,,7,2010,5
OWNER SUR,FIELD,45,2010,5
OWNER SUR,OTC,179,2010,5
QUARANTINE,MAS,4,2010,5
QUARANTINE,OWNER,3,2010,5
QUARANTINE,STRAY,2,2010,5
RETURN,FIELD,2,2010,5
RETURN,OTC,23,2010,5
STRAY,,44,2010,5
STRAY,FIELD,463,2010,5
STRAY,OTC,338,2010,5
CONFISCATE,ABANDONED,4,2010,6
CONFISCATE,BITE,2,2010,6
CONFISCATE,CHAINING,5,2010,6
CONFISCATE,CRUELTY,3,2010,6
CONFISCATE,EVICTION,3,2010,6
CONFISCATE,NEGLECT,124,2010,6
CONFISCATE,POTDANGER,1,2010,6
CONFISCATE,RESTRAINT,3,2010,6
EUTH REQ,,1,2010,6
EUTH REQ,FIELD OWN,7,2010,6
EUTH REQ,OTC OWNED,53,2010,6
INVESTIGAT,DANGER DOG,1,2010,6
KHS,,1,2010,6
OUTSURGERY,,47,2010,6
OUTSURGERY,NEUTER,7,2010,6
OWNER SUR,,6,2010,6
OWNER SUR,FIELD,49,2010,6
OWNER SUR,OTC,239,2010,6
QUARANTINE,MAS,4,2010,6
QUARANTINE,OWNER,4,2010,6
QUARANTINE,STRAY,1,2010,6
RETURN,FIELD,1,2010,6
RETURN,OTC,21,2010,6
STRAY,FIELD,494,2010,6
STRAY,OTC,488,2010,6
CONFISCATE,CHAINING,3,2010,7
CONFISCATE,CRUELTY,15,2010,7
CONFISCATE,DANGER DOG,1,2010,7
CONFISCATE,EVICTION,5,2010,7
CONFISCATE,NEGLECT,18,2010,7
CONFISCATE,RESTRAINT,6,2010,7
EUTH REQ,,5,2010,7
EUTH REQ,FIELD OWN,11,2010,7
EUTH REQ,OTC OWNED,48,2010,7
OUTSURGERY,,42,2010,7
OUTSURGERY,NEUTER,5,2010,7
OWNER SUR,FIELD,98,2010,7
OWNER SUR,OTC,279,2010,7
QUARANTINE,MAS,4,2010,7
QUARANTINE,STRAY,4,2010,7
RETURN,FIELD,4,2010,7
RETURN,OTC,17,2010,7
STRAY,FIELD,565,2010,7
STRAY,OTC,505,2010,7
CONFISCATE,ABANDONED,2,2010,8
CONFISCATE,BITE,2,2010,8
CONFISCATE,CHAINING,5,2010,8
CONFISCATE,CRUELTY,1,2010,8
CONFISCATE,NEGLECT,13,2010,8
CONFISCATE,POTDANGER,1,2010,8
CONFISCATE,RESTRAINT,3,2010,8
EUTH REQ,,7,2010,8
EUTH REQ,FIELD OWN,31,2010,8
EUTH REQ,OTC OWNED,62,2010,8
OUTSURGERY,,38,2010,8
OUTSURGERY,NEUTER,7,2010,8
OWNER SUR,,2,2010,8
OWNER SUR,FIELD,120,2010,8
OWNER SUR,OTC,241,2010,8
QUARANTINE,MAS,4,2010,8
QUARANTINE,OWNER,2,2010,8
QUARANTINE,STRAY,4,2010,8
RETURN,,1,2010,8
RETURN,FIELD,3,2010,8
RETURN,OTC,28,2010,8
STRAY,,1,2010,8
STRAY,FIELD,580,2010,8
STRAY,OTC,469,2010,8
CONFISCATE,ABANDONED,1,2010,9
CONFISCATE,CHAINING,2,2010,9
CONFISCATE,NEGLECT,16,2010,9
CONFISCATE,POLICE,1,2010,9
CONFISCATE,RESTRAINT,5,2010,9
EUTH REQ,,5,2010,9
EUTH REQ,FIELD OWN,9,2010,9
EUTH REQ,OTC OWNED,49,2010,9
OUTSURGERY,,43,2010,9
OUTSURGERY,NEUTER,3,2010,9
OWNER SUR,,4,2010,9
OWNER SUR,FIELD,83,2010,9
OWNER SUR,OTC,224,2010,9
QUARANTINE,MAS,8,2010,9
QUARANTINE,STRAY,1,2010,9
RETURN,OTC,21,2010,9
STRAY,FIELD,443,2010,9
STRAY,OTC,393,2010,9
CONFISCATE,ABANDONED,3,2010,10
CONFISCATE,BITE,2,2010,10
CONFISCATE,CHAINING,2,2010,10
CONFISCATE,CRUELTY,1,2010,10
CONFISCATE,NEGLECT,6,2010,10
CONFISCATE,RESTRAINT,4,2010,10
EUTH REQ,,5,2010,10
EUTH REQ,FIELD OWN,6,2010,10
EUTH REQ,OTC OWNED,33,2010,10
KHS,,1,2010,10
OUTSURGERY,,36,2010,10
OUTSURGERY,NEUTER,5,2010,10
OWNER SUR,FIELD,59,2010,10
OWNER SUR,OTC,221,2010,10
QUARANTINE,,1,2010,10
QUARANTINE,MAS,3,2010,10
QUARANTINE,OWNER,1,2010,10
QUARANTINE,STRAY,2,2010,10
RETURN,ADOPTION,1,2010,10
RETURN,FIELD,2,2010,10
RETURN,OTC,16,2010,10
STRAY,,1,2010,10
STRAY,FIELD,421,2010,10
STRAY,OTC,367,2010,10
CONFISCATE,BITE,2,2010,11
CONFISCATE,CHAINING,4,2010,11
CONFISCATE,CRUELTY,2,2010,11
CONFISCATE,NEGLECT,25,2010,11
CONFISCATE,RESTRAINT,7,2010,11
EUTH REQ,,2,2010,11
EUTH REQ,FIELD OWN,9,2010,11
EUTH REQ,OTC OWNED,44,2010,11
OUTSURGERY,,31,2010,11
OUTSURGERY,NEUTER,4,2010,11
OWNER SUR,,1,2010,11
OWNER SUR,FIELD,44,2010,11
OWNER SUR,OTC,186,2010,11
QUARANTINE,MAS,5,2010,11
QUARANTINE,OWNER,2,2010,11
QUARANTINE,STRAY,2,2010,11
RETURN,ADOPTION,2,2010,11
RETURN,OTC,16,2010,11
STRAY,FIELD,356,2010,11
STRAY,OTC,248,2010,11
TRANSFER,,1,2010,11
CONFISCATE,CHAINING,1,2010,12
CONFISCATE,DANGER DOG,4,2010,12
CONFISCATE,NEGLECT,22,2010,12
CONFISCATE,POLICE,1,2010,12
EUTH REQ,FIELD OWN,6,2010,12
EUTH REQ,OTC OWNED,29,2010,12
MED OBSERV,POST SURG,5,2010,12
OUTSURGERY,,27,2010,12
OUTSURGERY,NEUTER,2,2010,12
OWNER SUR,,1,2010,12
OWNER SUR,FIELD,45,2010,12
OWNER SUR,OTC,152,2010,12
QUARANTINE,MAS,2,2010,12
QUARANTINE,STRAY,2,2010,12
RETURN,ADOPTION,1,2010,12
RETURN,FIELD,1,2010,12
RETURN,OTC,20,2010,12
STRAY,FIELD,321,2010,12
STRAY,OTC,220,2010,12
CONFISCATE,ABANDONED,8,2011,1
CONFISCATE,BITE,1,2011,1
CONFISCATE,CHAINING,2,2011,1
CONFISCATE,CRUELTY,2,2011,1
CONFISCATE,NEGLECT,10,2011,1
CONFISCATE,OWNER DIED,4,2011,1
CONFISCATE,POLICE,1,2011,1
CONFISCATE,RESTRAINT,9,2011,1
EUTH REQ,FIELD OWN,5,2011,1
EUTH REQ,OTC OWNED,35,2011,1
FOSTER,RETURN,1,2011,1
OUTSURGERY,,21,2011,1
OUTSURGERY,NEUTER,7,2011,1
OWNER SUR,FIELD,52,2011,1
OWNER SUR,OTC,162,2011,1
QUARANTINE,MAS,7,2011,1
RETURN,OTC,17,2011,1
STRAY,FIELD,301,2011,1
STRAY,OTC,210,2011,1
CONFISCATE,ABANDONED,1,2011,2
CONFISCATE,BITE,1,2011,2
CONFISCATE,CHAINING,2,2011,2
CONFISCATE,CRUELTY,1,2011,2
CONFISCATE,NEGLECT,10,2011,2
CONFISCATE,POLICE,1,2011,2
CONFISCATE,POTDANGER,1,2011,2
EUTH REQ,FIELD OWN,3,2011,2
EUTH REQ,OTC OWNED,45,2011,2
INVESTIGAT,DANGER DOG,2,2011,2
KHS,,1,2011,2
OUTSURGERY,,44,2011,2
OUTSURGERY,NEUTER,6,2011,2
OWNER SUR,FIELD,36,2011,2
OWNER SUR,OTC,169,2011,2
QUARANTINE,MAS,2,2011,2
QUARANTINE,OWNER,1,2011,2
QUARANTINE,STRAY,1,2011,2
RETURN,,1,2011,2
RETURN,K HUMANE S,1,2011,2
RETURN,OTC,7,2011,2
STRAY,FIELD,302,2011,2
STRAY,OTC,155,2011,2
CONFISCATE,ABANDONED,10,2011,3
CONFISCATE,BITE,2,2011,3
CONFISCATE,CHAINING,6,2011,3
CONFISCATE,CRUELTY,3,2011,3
CONFISCATE,EVICTION,3,2011,3
CONFISCATE,NEGLECT,21,2011,3
CONFISCATE,POLICE,2,2011,3
CONFISCATE,POTDANGER,1,2011,3
CONFISCATE,RESTRAINT,1,2011,3
CONFISCATE,UNPERMITED,1,2011,3
EUTH REQ,FIELD OWN,10,2011,3
EUTH REQ,OTC OWNED,49,2011,3
INVESTIGAT,NUISANCE,1,2011,3
OUTSURGERY,,46,2011,3
OUTSURGERY,NEUTER,6,2011,3
OWNER SUR,,4,2011,3
OWNER SUR,EUTH REQ,2,2011,3
OWNER SUR,FIELD,39,2011,3
OWNER SUR,OTC,192,2011,3
QUARANTINE,MAS,1,2011,3
QUARANTINE,OWNER,2,2011,3
RETURN,,3,2011,3
RETURN,ADOPTION,2,2011,3
RETURN,OTC,9,2011,3
STRAY,,1,2011,3
STRAY,EUTH REQ,1,2011,3
STRAY,FIELD,395,2011,3
STRAY,OTC,203,2011,3
TRANSFER,AN CONTROL,1,2011,3
CONFISCATE,BITE,7,2011,4
CONFISCATE,CHAINING,3,2011,4
CONFISCATE,CRUELTY,1,2011,4
CONFISCATE,NEGLECT,11,2011,4
CONFISCATE,POLICE,3,2011,4
CONFISCATE,RESTRAINT,6,2011,4
EUTH REQ,OTC OWNED,5,2011,4
OUTSURGERY,,28,2011,4
OUTSURGERY,NEUTER,6,2011,4
OWNER SUR,EUTH REQ,29,2011,4
OWNER SUR,FIELD,38,2011,4
OWNER SUR,OTC,251,2011,4
RETURN,,1,2011,4
RETURN,ADOPTION,21,2011,4
STRAY,,2,2011,4
STRAY,EUTH REQ,1,2011,4
STRAY,FIELD,493,2011,4
STRAY,OTC,266,2011,4
CONFISCATE,ABANDONED,8,2011,5
CONFISCATE,BITE,2,2011,5
CONFISCATE,CHAINING,7,2011,5
CONFISCATE,CRUELTY,3,2011,5
CONFISCATE,NEGLECT,9,2011,5
CONFISCATE,POLICE,1,2011,5
CONFISCATE,POTDANGER,1,2011,5
CONFISCATE,RESTRAINT,10,2011,5
FOSTER,RETURN,1,2011,5
OUTSURGERY,,18,2011,5
OUTSURGERY,NEUTER,1,2011,5
OWNER SUR,,1,2011,5
OWNER SUR,EUTH REQ,70,2011,5
OWNER SUR,FIELD,40,2011,5
OWNER SUR,OTC,275,2011,5
RETURN,ADOPTION,18,2011,5
RETURN,K HUMANE S,3,2011,5
STRAY,,4,2011,5
STRAY,EUTH REQ,3,2011,5
STRAY,FIELD,460,2011,5
STRAY,OTC,292,2011,5
CONFISCATE,ABANDONED,1,2011,6
CONFISCATE,BITE,1,2011,6
CONFISCATE,CHAINING,2,2011,6
CONFISCATE,CRUELTY,2,2011,6
CONFISCATE,DANGER DOG,1,2011,6
CONFISCATE,HOSPITAL,1,2011,6
CONFISCATE,NEGLECT,10,2011,6
CONFISCATE,POLICE,2,2011,6
CONFISCATE,POTDANGER,1,2011,6
CONFISCATE,RESTRAINT,3,2011,6
FOSTER,,7,2011,6
FOSTER,RETURN,2,2011,6
OUTSURGERY,NEUTER,4,2011,6
OWNER SUR,EUTH REQ,69,2011,6
OWNER SUR,FIELD,70,2011,6
OWNER SUR,OTC,248,2011,6
RETURN,,3,2011,6
RETURN,ADOPTION,31,2011,6
RETURN,K HUMANE S,1,2011,6
STRAY,FIELD,445,2011,6
STRAY,OTC,330,2011,6
CONFISCATE,ABANDONED,15,2011,7
CONFISCATE,BITE,4,2011,7
CONFISCATE,CHAINING,1,2011,7
CONFISCATE,CRUELTY,2,2011,7
CONFISCATE,NEGLECT,7,2011,7
CONFISCATE,POTDANGER,2,2011,7
