% This text file includes data for each subsurface RAFOS
% float used in Collins et al., 2017.  The file contains six
% columns of ascii data at a temporal resolution of 12
% hours.  The first column is float number, the second is
% time, the third is longitude (degrees), the fourth is
% latitude (degrees), the fifth is pressure (decibars)
% and the sixth is temperature (T90).  Time is serial
% date number where a serial date number of 1 corresponds
% to Jan-1-0000.  Time is referenced to coordinated universal
% time (UTC).NaN is used when data is not available.  For
% some floats, the pressure and temperature data are erratic
% (a discussion of this issue can be found in Bower, 1994). 
% Data are smoothed as described in the Methods section
% of Collins et al., 2018.
%
% References: 
%
% Bower, A.S., 1994.  Pressure transducer tests-1986.  
% RAFOS Float Technology Workshop Proc., Woods Hole,
% MA, Woods Hole Oceanogr. Inst., 98-107.
%
% Collins, C.A., et al., 2018.  Lagrangian Observations of 
% the Along-slope Path of the California Undercurrent,
% Deep-Sea Res. II, submitted.
%
% C. A. Collins, 15 January, 2018 Email: collins@nps.edu
%
%fltno  time    lon       lat   pressure temperature
   8 728196.5  -124.023   39.525  315.9   7.25
   8 728197.0  -124.030   39.511  313.6   7.21
   8 728197.5  -124.044   39.525  307.9   7.14
   8 728198.0  -124.064   39.562  299.6   7.03
   8 728198.5  -124.081   39.606  296.5   6.98
   8 728199.0  -124.087   39.642  293.3   6.92
   8 728199.5  -124.082   39.662  298.4   6.97
   8 728200.0  -124.076   39.664  306.7   7.07
   8 728200.5  -124.079   39.655  301.5   7.00
   8 728201.0  -124.097   39.648  296.3   6.92
   8 728201.5  -124.130   39.658  292.2   6.86
   8 728202.0  -124.174   39.683  290.3   6.83
   8 728202.5  -124.221   39.719  287.8   6.80
   8 728203.0  -124.270   39.762  285.3   6.76
   8 728203.5  -124.318   39.813  284.4   6.76
   8 728204.0  -124.359   39.870  284.8   6.74
   8 728204.5  -124.391   39.928  283.2   6.65
   8 728205.0  -124.417   39.981  281.7   6.57
   8 728205.5  -124.443   40.029  282.7   6.61
   8 728206.0  -124.473   40.072  284.4   6.66
   8 728206.5  -124.504   40.109  281.8   6.48
   8 728207.0  -124.531   40.138  279.1   6.30
   8 728207.5  -124.559   40.161  280.1   6.40
   8 728208.0  -124.603   40.190  282.7   6.74
   8 728208.5  -124.658   40.230  279.6   6.70
   8 728209.0  -124.701   40.275  276.4   6.66
   8 728209.5  -124.714   40.319  273.7   6.53
   8 728210.0  -124.712   40.369  277.5   6.40
   8 728210.5  -124.721   40.435  284.9   6.44
   8 728211.0  -124.750   40.514  292.4   6.47
   8 728211.5  -124.780   40.595  295.5   6.52
   8 728212.0  -124.796   40.665  294.6   6.59
   8 728212.5  -124.794   40.720  299.2   6.66
   8 728213.0  -124.779   40.753  303.9   6.73
   8 728213.5  -124.765   40.771  308.8   6.79
   8 728214.0  -124.772   40.789  312.1   6.80
   8 728214.5  -124.804   40.824  313.8   6.83
   8 728215.0  -124.853   40.878  315.5   6.86
   8 728215.5  -124.899   40.937  313.9   6.87
   8 728216.0  -124.938   40.987  308.3   6.83
   8 728216.5  -124.973   41.022  306.2   6.79
   8 728217.0  -125.010   41.049  304.1   6.76
   8 728217.5  -125.058   41.081  299.9   6.69
   8 728218.0  -125.119   41.126  293.6   6.65
   8 728218.5  -125.185   41.187  290.0   6.66
   8 728219.0  -125.239   41.264  286.4   6.67
   8 728219.5  -125.272   41.361  291.5   6.74
   8 728220.0  -125.290   41.479  302.0   6.82
   8 728220.5  -125.291   41.602  299.7   6.79
   8 728221.0  -125.255   41.704  297.4   6.76
   8 728221.5  -125.171   41.768  288.0   6.70
   8 728222.0  -125.060   41.801  277.3   6.66
   8 728222.5  -124.956   41.821  279.4   6.69
   8 728223.0  -124.869   41.834  281.5   6.72
   8 728223.5  -124.790   41.835  283.2   6.76
   8 728224.0  -124.723   41.818  289.1   6.83
   8 728224.5  -124.678   41.785  298.4   6.90
   8 728225.0  -124.656   41.743  307.8   6.98
   8 728225.5  -124.646   41.694  316.2   7.03
   8 728226.0  -124.642   41.639  316.9   7.01
   8 728226.5  -124.651   41.586  314.0   6.98
   8 728227.0  -124.687   41.549  311.0   6.94
   8 728227.5  -124.747   41.531  303.1   6.86
   8 728228.0  -124.813   41.524  292.1   6.75
   8 728228.5  -124.876   41.523  288.5   6.70
   8 728229.0  -124.948   41.540  284.8   6.64
   8 728229.5  -125.041   41.584  284.4   6.63
   8 728230.0  -125.139   41.647  285.2   6.68
   8 728230.5  -125.214   41.713  280.6   6.66
   8 728231.0  -125.249   41.779  276.1   6.64
   8 728231.5  -125.253   41.850  273.5   6.63
   8 728232.0  -125.237   41.926  279.4   6.68
   8 728232.5  -125.204   41.997  287.1   6.75
   8 728233.0  -125.153   42.054  294.9   6.82
   8 728233.5  -125.085   42.092  297.0   6.84
   8 728234.0  -125.012   42.113  295.2   6.81
   8 728234.5  -124.947   42.119  301.3   6.85
   8 728235.0  -124.891   42.114  307.5   6.89
   8 728235.5  -124.845   42.102  312.9   6.91
   8 728236.0  -124.808   42.080  314.3   6.92
   8 728236.5  -124.776   42.044  314.4   6.94
   8 728237.0  -124.743   41.994  314.6   6.96
   8 728237.5  -124.715   41.936  312.4   6.96
   8 728238.0  -124.714   41.878  312.5   6.95
   8 728238.5  -124.761   41.829  318.6   6.99
   8 728239.0  -124.849   41.793  324.6   7.03
   8 728239.5  -124.946   41.773  329.3   7.07
   8 728240.0  -125.025   41.769  330.1   7.13
   8 728240.5  -125.072   41.778  330.8   7.19
   8 728241.0  -125.088   41.797  331.6   7.25
   8 728241.5  -125.083   41.819  332.4   7.31
   8 728242.0  -125.066   41.843  328.8   7.30
   8 728242.5  -125.052   41.866  322.3   7.24
   8 728243.0  -125.055   41.888  315.7   7.19
   8 728243.5  -125.080   41.908  312.6   7.20
   8 728244.0  -125.119   41.925  312.6   7.27
   8 728244.5  -125.163   41.939  308.2   7.26
   8 728245.0  -125.203   41.947  303.7   7.25
   8 728245.5  -125.235   41.951  300.5   7.24
   8 728246.0  -125.257   41.952  296.7   7.17
   8 728246.5  -125.271   41.952  290.3   7.07
   8 728247.0  -125.285   41.952  283.9   6.98
   8 728247.5  -125.309   41.957  281.8   6.90
   8 728248.0  -125.348   41.971  284.2   6.87
   8 728248.5  -125.394   41.996  281.1   6.84
   8 728249.0  -125.439   42.031  278.1   6.81
   8 728249.5  -125.475   42.073  273.2   6.77
   8 728250.0  -125.502   42.122  270.4   6.74
   8 728250.5  -125.518   42.179  272.5   6.74
   8 728251.0  -125.518   42.240  274.6   6.75
   8 728251.5  -125.499   42.303  276.3   6.76
   8 728252.0  -125.467   42.369  279.6   6.81
   8 728252.5  -125.435   42.437  284.7   6.83
   8 728253.0  -125.405   42.499  289.8   6.86
   8 728253.5  -125.369   42.549  290.3   6.90
   8 728254.0  -125.320   42.587  285.7   6.91
   8 728254.5  -125.258   42.620  286.1   6.90
   8 728255.0  -125.189   42.651  286.5   6.89
   8 728255.5  -125.120   42.680  286.7   6.88
   8 728256.0  -125.057   42.704  286.5   6.88
   8 728256.5  -125.002   42.722  286.3   6.88
   8 728257.0  -124.956   42.735  286.1   6.88
   8 728257.5  -124.918   42.741  285.8   6.87
   8 728258.0  -124.888   42.742  285.6   6.87
   8 728258.5  -124.866   42.739  285.4   6.87
   8 728259.0  -124.850   42.732  285.1   6.87
   8 728259.5  -124.841   42.721  284.9   6.87
   8 728260.0  -124.838   42.707  284.7   6.87
   8 728260.5  -124.839   42.692  284.5   6.87
   8 728261.0  -124.846   42.674  284.2   6.87
   8 728261.5  -124.856   42.656  284.0   6.87
   8 728262.0  -124.870   42.637  283.8   6.87
   8 728262.5  -124.887   42.619  283.6   6.87
   8 728263.0  -124.906   42.601  283.3   6.87
   8 728263.5  -124.927   42.584  283.1   6.87
   8 728264.0  -124.950   42.569  282.9   6.87
   8 728264.5  -124.973   42.557  282.6   6.87
   8 728265.0  -124.996   42.548  282.4   6.87
   8 728265.5  -125.019   42.542  282.2   6.87
   8 728266.0  -125.042   42.541  282.2   6.86
   8 728266.5  -125.063   42.542  282.4   6.85
   8 728267.0  -125.083   42.547  282.6   6.84
   8 728267.5  -125.102   42.554  282.7   6.82
   8 728268.0  -125.120   42.563  282.9   6.81
   8 728268.5  -125.136   42.572  283.1   6.80
   8 728269.0  -125.151   42.582  283.3   6.78
   8 728269.5  -125.165   42.590  283.4   6.77
   8 728270.0  -125.182   42.598  281.7   6.73
   8 728270.5  -125.205   42.603  278.6   6.68
   8 728271.0  -125.242   42.606  275.6   6.63
   8 728271.5  -125.295   42.605  277.6   6.64
   8 728272.0  -125.360   42.600  285.0   6.71
   8 728272.5  -125.422   42.595  286.6   6.71
   8 728273.0  -125.468   42.593  288.1   6.71
   8 728273.5  -125.496   42.594  282.9   6.72
   8 728274.0  -125.519   42.595  275.4   6.72
   8 728274.5  -125.549   42.588  279.4   6.70
   8 728275.0  -125.583   42.569  283.4   6.67
   8 728275.5  -125.616   42.542  284.4   6.63
   8 728276.0  -125.648   42.515  282.7   6.63
   8 728276.5  -125.681   42.497  284.6   6.69
   8 728277.0  -125.711   42.488  286.5   6.75
   8 728277.5  -125.737   42.484  286.9   6.73
   8 728278.0  -125.764   42.478  280.7   6.64
   8 728278.5  -125.799   42.468  273.0   6.65
   8 728279.0  -125.840   42.457  265.2   6.66
   8 728279.5  -125.876   42.445  264.2   6.70
   8 728280.0  -125.904   42.435  269.3   6.73
   8 728280.5  -125.933   42.424  265.8   6.68
   8 728281.0  -125.970   42.415  262.4   6.63
   8 728281.5  -126.021   42.412  265.6   6.65
   8 728282.0  -126.080   42.413  271.7   6.70
   8 728282.5  -126.125   42.414  267.1   6.64
   8 728283.0  -126.133   42.409  262.6   6.59
   8 728283.5  -126.108   42.398  261.4   6.62
   8 728284.0  -126.088   42.388  264.3   6.72
   8 728284.5  -126.111   42.381  263.6   6.67
   8 728285.0  -126.179   42.371  263.0   6.63
   8 728285.5  -126.260   42.353  261.9   6.63
   8 728286.0  -126.327   42.331  262.1   6.66
   8 728286.5  -126.375   42.320  263.9   6.65
   8 728287.0  -126.410   42.325  265.6   6.63
   8 728287.5  -126.441   42.339  262.9   6.62
   8 728288.0  -126.474   42.346  257.1   6.60
   8 728288.5  -126.508   42.343  257.9   6.55
   8 728289.0  -126.544   42.335  258.6   6.51
   8 728289.5  -126.581   42.334  257.8   6.50
   8 728290.0  -126.618   42.335  256.4   6.53
   8 728290.5  -126.651   42.333  257.9   6.51
   8 728291.0  -126.681   42.328  259.3   6.49
   8 728291.5  -126.708   42.325  263.0   6.53
   8 728292.0  -126.740   42.324  263.4   6.62
   8 728292.5  -126.776   42.322  257.0   6.61
   8 728293.0  -126.815   42.318  250.7   6.60
   8 728293.5  -126.853   42.314  251.9   6.62
   9 728303.5  -123.569   37.798  298.3   6.35
   9 728304.0  -123.625   37.848  294.5   6.26
   9 728304.5  -123.677   37.891  306.2   6.29
   9 728305.0  -123.723   37.927  318.0   6.32
   9 728305.5  -123.765   37.961  321.3   6.27
   9 728306.0  -123.807   37.992  333.2   6.25
   9 728306.5  -123.852   38.012  341.1   6.09
   9 728307.0  -123.897   38.019  349.0   5.94
   9 728307.5  -123.939   38.023  362.7   5.73
   9 728308.0  -123.979   38.029  385.0   5.68
   9 728308.5  -124.017   38.034  404.6   5.51
   9 728309.0  -124.055   38.035  424.2   5.34
   9 728309.5  -124.090   38.036  426.2   5.24
   9 728310.0  -124.122   38.039  448.8   5.21
   9 728310.5  -124.150   38.040  457.1   5.14
   9 728311.0  -124.174   38.040  465.4   5.08
   9 728311.5  -124.197   38.038  473.8   4.98
   9 728312.0  -124.219   38.036  490.8   4.97
   9 728312.5  -124.238   38.035  500.7   4.96
   9 728313.0  -124.251   38.036  510.5   4.94
   9 728313.5  -124.262   38.039  507.4   4.82
   9 728314.0  -124.275   38.043  523.9   4.79
   9 728314.5  -124.289   38.047  529.0   4.76
   9 728315.0  -124.300   38.049  534.1   4.73
   9 728315.5  -124.309   38.051  531.0   4.62
   9 728316.0  -124.319   38.056  535.5   4.60
   9 728316.5  -124.328   38.062  540.4   4.62
   9 728317.0  -124.337   38.065  545.4   4.64
   9 728317.5  -124.346   38.067  541.7   4.56
   9 728318.0  -124.355   38.073  544.7   4.62
   9 728318.5  -124.361   38.082  545.3   4.61
   9 728319.0  -124.362   38.090  545.9   4.59
   9 728319.5  -124.363   38.098  547.8   4.56
   9 728320.0  -124.367   38.107  543.6   4.56
   9 728320.5  -124.371   38.116  545.4   4.57
   9 728321.0  -124.377   38.127  547.3   4.59
   9 728321.5  -124.386   38.138  545.1   4.55
   9 728322.0  -124.397   38.151  546.8   4.54
   9 728322.5  -124.406   38.164  547.9   4.54
   9 728323.0  -124.414   38.179  548.9   4.53
   9 728323.5  -124.423   38.197  547.2   4.54
   9 728324.0  -124.435   38.218  551.5   4.59
   9 728324.5  -124.446   38.239  548.5   4.57
   9 728325.0  -124.453   38.260  545.6   4.55
   9 728325.5  -124.458   38.281  550.9   4.55
   9 728326.0  -124.464   38.304  549.4   4.58
   9 728326.5  -124.474   38.329  549.4   4.56
   9 728327.0  -124.486   38.353  549.4   4.55
   9 728327.5  -124.496   38.373  551.4   4.58
   9 728328.0  -124.503   38.387  549.2   4.54
   9 728328.5  -124.508   38.402  548.8   4.54
   9 728329.0  -124.516   38.426  548.4   4.53
   9 728329.5  -124.531   38.464  553.0   4.55
   9 728330.0  -124.548   38.504  550.6   4.55
   9 728330.5  -124.558   38.533  551.3   4.55
   9 728331.0  -124.559   38.549  552.0   4.56
   9 728331.5  -124.555   38.562  549.8   4.55
   9 728332.0  -124.555   38.579  549.9   4.53
   9 728332.5  -124.558   38.597  549.0   4.52
   9 728333.0  -124.560   38.613  548.0   4.51
   9 728333.5  -124.559   38.630  545.7   4.52
   9 728334.0  -124.556   38.650  551.5   4.53
   9 728334.5  -124.554   38.668  549.7   4.53
   9 728335.0  -124.551   38.682  548.0   4.53
  19 728408.5  -123.132   37.637  427.8   6.17
  19 728409.0  -123.196   37.670  425.6   6.14
  19 728409.5  -123.261   37.704  423.7   6.12
  19 728410.0  -123.327   37.741  422.2   6.11
  19 728410.5  -123.389   37.783  422.6   6.12
  19 728411.0  -123.443   37.833  425.1   6.14
  19 728411.5  -123.484   37.888  428.9   6.18
  19 728412.0  -123.512   37.948  434.0   6.24
  19 728412.5  -123.528   38.010  436.6   6.25
  19 728413.0  -123.539   38.072  436.5   6.22
  19 728413.5  -123.549   38.132  434.4   6.18
  19 728414.0  -123.562   38.187  430.3   6.14
  19 728414.5  -123.574   38.236  427.7   6.12
  19 728415.0  -123.585   38.277  426.8   6.13
  19 728415.5  -123.595   38.312  427.9   6.13
  19 728416.0  -123.606   38.344  430.9   6.12
  19 728416.5  -123.620   38.377  432.6   6.12
  19 728417.0  -123.640   38.412  432.9   6.13
  19 728417.5  -123.665   38.452  431.2   6.12
  19 728418.0  -123.693   38.495  427.1   6.07
  19 728418.5  -123.719   38.540  425.4   6.06
  19 728419.0  -123.746   38.587  426.3   6.09
  19 728419.5  -123.780   38.636  429.2   6.13
  19 728420.0  -123.826   38.687  434.5   6.15
  19 728420.5  -123.878   38.740  437.1   6.18
  19 728421.0  -123.929   38.792  437.0   6.19
  19 728421.5  -123.973   38.845  436.4   6.18
  19 728422.0  -124.008   38.895  435.5   6.15
  19 728422.5  -124.036   38.941  434.7   6.15
  19 728423.0  -124.056   38.981  434.2   6.19
  19 728423.5  -124.066   39.015  433.0   6.19
  19 728424.0  -124.068   39.044  431.2   6.16
  19 728424.5  -124.067   39.069  432.3   6.16
  19 728425.0  -124.064   39.091  436.4   6.19
  19 728425.5  -124.059   39.108  437.6   6.19
  19 728426.0  -124.050   39.123  435.5   6.18
  19 728426.5  -124.039   39.137  434.5   6.16
  19 728427.0  -124.028   39.157  434.6   6.13
  19 728427.5  -124.020   39.184  433.3   6.12
  19 728428.0  -124.014   39.217  430.4   6.13
  19 728428.5  -124.012   39.251  429.9   6.13
  19 728429.0  -124.015   39.284  432.0   6.10
  19 728429.5  -124.025   39.313  432.5   6.09
  19 728430.0  -124.040   39.341  431.3   6.10
  19 728430.5  -124.054   39.367  427.9   6.06
  19 728431.0  -124.061   39.397  422.2   5.98
  19 728431.5  -124.058   39.432  417.9   5.92
  19 728432.0  -124.048   39.470  415.3   5.89
  19 728432.5  -124.038   39.509  415.3   5.90
  19 728433.0  -124.034   39.545  418.2   5.94
  19 728433.5  -124.035   39.580  422.6   5.99
  19 728434.0  -124.042   39.615  428.7   6.03
  19 728434.5  -124.053   39.651  431.3   6.06
  19 728435.0  -124.071   39.688  429.9   6.07
  19 728435.5  -124.096   39.725  428.0   6.07
  19 728436.0  -124.127   39.764  425.6   6.04
  19 728436.5  -124.157   39.806  424.7   6.02
  19 728437.0  -124.180   39.846  425.4   6.00
  19 728437.5  -124.199   39.885  422.5   5.99
  19 728438.0  -124.222   39.921  415.6   5.98
  19 728438.5  -124.257   39.958  411.6   5.94
  19 728439.0  -124.304   39.995  410.7   5.87
  19 728439.5  -124.360   40.032  410.3   5.87
  19 728440.0  -124.425   40.066  410.3   5.95
  19 728440.5  -124.501   40.099  415.2   5.99
  19 728441.0  -124.586   40.141  425.3   6.00
  19 728441.5  -124.664   40.203  426.4   5.93
  19 728442.0  -124.707   40.288  417.8   5.78
  19 728442.5  -124.698   40.389  420.4   5.69
  19 728443.0  -124.656   40.491  435.1   5.67
  19 728443.5  -124.613   40.583  442.5   5.67
  19 728444.0  -124.580   40.655  441.8   5.68
  19 728444.5  -124.549   40.704  442.0   5.71
  19 728445.0  -124.516   40.730  443.4   5.75
  19 728445.5  -124.499   40.742  443.9   5.80
  19 728446.0  -124.510   40.753  443.5   5.84
  19 728446.5  -124.535   40.778  442.0   5.85
  19 728447.0  -124.545   40.816  439.4   5.79
  19 728447.5  -124.527   40.858  439.3   5.78
  19 728448.0  -124.497   40.891  441.9   5.82
  19 728448.5  -124.487   40.911  443.8   5.91
  19 728449.0  -124.505   40.923  444.9   6.07
  19 728449.5  -124.532   40.935  444.9   6.09
  19 728450.0  -124.554   40.955  443.5   5.97
  19 728450.5  -124.573   40.987  441.3   5.89
  19 728451.0  -124.605   41.033  438.1   5.87
  19 728451.5  -124.652   41.087  432.6   5.80
  19 728452.0  -124.700   41.146  424.7   5.66
  19 728452.5  -124.730   41.203  423.9   5.63
  19 728453.0  -124.737   41.251  430.7   5.72
  19 728453.5  -124.736   41.287  433.9   5.77
  19 728454.0  -124.738   41.310  433.2   5.77
  19 728454.5  -124.748   41.326  432.1   5.74
  19 728455.0  -124.759   41.340  430.5   5.68
  19 728455.5  -124.768   41.359  430.1   5.67
  19 728456.0  -124.773   41.382  431.0   5.71
  19 728456.5  -124.777   41.407  431.3   5.73
  19 728457.0  -124.778   41.431  431.0   5.73
  19 728457.5  -124.778   41.454  430.0   5.72
  19 728458.0  -124.788   41.475  428.4   5.70
  19 728458.5  -124.818   41.496  426.9   5.69
  19 728459.0  -124.859   41.517  425.6   5.70
  19 728459.5  -124.893   41.537  425.9   5.71
  19 728460.0  -124.912   41.552  427.7   5.73
  19 728460.5  -124.922   41.561  428.0   5.73
  19 728461.0  -124.931   41.567  426.8   5.71
  19 728461.5  -124.939   41.578  426.4   5.71
  19 728462.0  -124.942   41.589  427.1   5.73
  19 728462.5  -124.947   41.593  428.6   5.74
  19 728463.0  -124.960   41.594  430.8   5.76
  19 728463.5  -124.981   41.603  431.5   5.77
  19 728464.0  -124.996   41.623  430.7   5.76
  19 728464.5  -124.998   41.643  428.5   5.73
  19 728465.0  -124.988   41.650  424.8   5.69
  19 728465.5  -124.983   41.640  425.7   5.70
  19 728466.0  -124.990   41.626  431.6   5.76
  19 728466.5  -125.005   41.626  435.6   5.81
  19 728467.0  -125.010   41.645  437.6   5.84
  19 728467.5  -124.997   41.675  436.3   5.83
  19 728468.0  -124.974   41.690  431.4   5.77
  19 728468.5  -124.963   41.677  429.6   5.74
  19 728469.0  -124.980   41.639  431.1   5.72
  19 728469.5  -125.022   41.597  435.6   5.76
  19 728470.0  -125.073   41.569  443.2   5.86
  19 728470.5  -125.116   41.557  442.9   5.90
  19 728471.0  -125.138   41.555  433.9   5.85
  19 728471.5  -125.140   41.554  428.3   5.77
  19 728472.0  -125.135   41.544  426.5   5.66
  19 728472.5  -125.143   41.523  424.4   5.59
  19 728473.0  -125.180   41.496  421.9   5.59
  19 728473.5  -125.249   41.470  423.5   5.62
  19 728474.0  -125.343   41.448  429.6   5.67
  19 728474.5  -125.450   41.431  431.9   5.71
  19 728475.0  -125.564   41.422  429.9   5.72
  19 728475.5  -125.684   41.432  432.4   5.76
  19 728476.0  -125.801   41.467  439.6   5.84
  19 728476.5  -125.898   41.523  443.9   5.92
  19 728477.0  -125.955   41.588  445.1   6.01
  19 728477.5  -125.966   41.646  447.9   6.06
  19 728478.0  -125.941   41.684  452.2   6.09
  19 728478.5  -125.901   41.690  453.5   6.09
  19 728479.0  -125.872   41.661  451.7   6.08
  19 728479.5  -125.870   41.604  448.1   6.06
  19 728480.0  -125.903   41.533  442.4   6.02
  19 728480.5  -125.970   41.465  438.5   5.97
  19 728481.0  -126.064   41.415  436.7   5.91
  19 728481.5  -126.171   41.394  436.8   5.89
  19 728482.0  -126.277   41.407  438.9   5.90
  19 728482.5  -126.365   41.449  442.2   5.96
  19 728483.0  -126.421   41.508  446.7   6.06
  19 728483.5  -126.440   41.567  450.7   6.11
  19 728484.0  -126.425   41.609  454.1   6.12
  19 728484.5  -126.387   41.623  455.2   6.12
  19 728485.0  -126.346   41.606  453.9   6.12
  19 728485.5  -126.325   41.561  454.1   6.14
  19 728486.0  -126.340   41.500  455.7   6.17
  19 728486.5  -126.396   41.441  452.8   6.15
  19 728487.0  -126.483   41.403  444.9   6.05
  19 728487.5  -126.580   41.400  439.3   6.00
  19 728488.0  -126.663   41.435  436.3   5.97
  19 728488.5  -126.709   41.498  438.8   5.99
  19 728489.0  -126.710   41.562  447.2   6.04
  19 728489.5  -126.676   41.603  449.8   6.07
  19 728490.0  -126.637   41.608  446.1   6.09
  19 728490.5  -126.625   41.579  444.8   6.09
  19 728491.0  -126.657   41.526  446.2   6.08
  19 728491.5  -126.725   41.467  450.1   6.07
  19 728492.0  -126.803   41.416  456.7   6.07
  19 728492.5  -126.872   41.385  455.8   6.08
  19 728493.0  -126.925   41.383  446.7   6.10
  19 728493.5  -126.968   41.411  443.8   6.11
  19 728494.0  -126.999   41.464  447.7   6.12
  19 728494.5  -127.006   41.535  447.8   6.10
  19 728495.0  -126.982   41.609  443.8   6.07
  19 728495.5  -126.934   41.672  446.1   6.08
  19 728496.0  -126.871   41.718  455.2   6.14
  19 728496.5  -126.806   41.746  458.0   6.16
  19 728497.0  -126.747   41.757  453.8   6.13
  19 728497.5  -126.703   41.753  453.1   6.15
  19 728498.0  -126.673   41.732  456.1   6.21
  19 728498.5  -126.657   41.693  459.3   6.25
  19 728499.0  -126.658   41.642  462.7   6.28
  19 728499.5  -126.681   41.589  460.9   6.27
  19 728500.0  -126.727   41.540  453.7   6.20
  19 728500.5  -126.788   41.499  451.2   6.15
  19 728501.0  -126.852   41.470  453.8   6.11
  19 728501.5  -126.914   41.452  451.3   6.09
  19 728502.0  -126.971   41.446  443.1   6.10
  19 728502.5  -127.027   41.449  441.0   6.03
  19 728503.0  -127.078   41.459  445.3   5.87
  19 728503.5  -127.118   41.474  446.6   5.84
  19 728504.0  -127.145   41.492  444.6   5.94
  19 728504.5  -127.161   41.512  444.1   6.00
  19 728505.0  -127.169   41.535  445.2   6.02
  19 728505.5  -127.168   41.562  444.7   6.03
  19 728506.0  -127.159   41.593  442.5   6.03
  19 728506.5  -127.145   41.629  443.9   6.03
  19 728507.0  -127.126   41.666  449.2   6.04
  19 728507.5  -127.097   41.703  452.7   6.04
  19 728508.0  -127.057   41.737  454.3   6.04
  19 728508.5  -127.006   41.766  455.9   6.04
  19 728509.0  -126.946   41.789  457.3   6.05
  19 728509.5  -126.882   41.802  456.6   6.04
  19 728510.0  -126.815   41.805  453.7   6.02
  19 728510.5  -126.745   41.796  450.5   6.01
  19 728511.0  -126.672   41.776  446.9   6.02
  19 728511.5  -126.595   41.747  446.3   6.03
  19 728512.0  -126.519   41.708  448.9   6.03
  19 728512.5  -126.452   41.660  450.6   6.03
  19 728513.0  -126.399   41.605  451.1   6.03
  19 728513.5  -126.364   41.548  454.6   6.03
  19 728514.0  -126.345   41.492  461.2   6.05
  19 728514.5  -126.343   41.439  460.8   6.04
  19 728515.0  -126.356   41.390  452.6   6.01
  19 728515.5  -126.381   41.343  448.8   5.99
  19 728516.0  -126.415   41.300  449.8   5.99
  19 728516.5  -126.458   41.262  453.2   5.99
  19 728517.0  -126.513   41.233  459.3   6.00
  19 728517.5  -126.581   41.212  462.9   6.00
  19 728518.0  -126.663   41.199  463.7   5.98
  19 728518.5  -126.750   41.196  462.6   5.92
  19 728519.0  -126.833   41.203  459.6   5.80
  19 728519.5  -126.904   41.221  456.2   5.73
  19 728520.0  -126.962   41.248  452.3   5.71
  19 728520.5  -127.010   41.281  453.6   5.72
  19 728521.0  -127.049   41.317  460.5   5.77
  19 728521.5  -127.078   41.356  461.0   5.78
  19 728522.0  -127.093   41.396  454.5   5.76
  19 728522.5  -127.091   41.436  452.7   5.76
  19 728523.0  -127.072   41.476  456.0   5.77
  19 728523.5  -127.037   41.513  458.4   5.79
  19 728524.0  -126.992   41.540  460.0   5.80
  19 728524.5  -126.943   41.555  461.5   5.85
  19 728525.0  -126.889   41.557  463.1   5.93
  19 728525.5  -126.830   41.551  462.4   5.91
  19 728526.0  -126.763   41.538  459.2   5.79
  19 728526.5  -126.694   41.515  458.8   5.74
  19 728527.0  -126.632   41.483  461.6   5.76
  19 728527.5  -126.584   41.445  462.7   5.76
  19 728528.0  -126.549   41.405  462.2   5.72
  19 728528.5  -126.523   41.368  459.2   5.71
  19 728529.0  -126.502   41.333  453.5   5.73
  19 728529.5  -126.486   41.299  451.4   5.75
  19 728530.0  -126.475   41.266  453.2   5.76
  19 728530.5  -126.468   41.236  454.2   5.76
  19 728531.0  -126.461   41.209  454.5   5.75
  19 728531.5  -126.453   41.185  453.2   5.75
  19 728532.0  -126.449   41.161  450.0   5.75
  19 728532.5  -126.450   41.137  448.8   5.75
  19 728533.0  -126.455   41.113  449.8   5.75
  19 728533.5  -126.460   41.091  449.6   5.74
  19 728534.0  -126.464   41.071  448.0   5.73
  19 728534.5  -126.467   41.052  446.7   5.71
  19 728535.0  -126.473   41.035  445.6   5.68
  19 728535.5  -126.483   41.021  447.9   5.63
  19 728536.0  -126.496   41.008  453.8   5.57
  19 728536.5  -126.507   40.995  456.0   5.53
  19 728537.0  -126.514   40.982  454.0   5.50
  19 728537.5  -126.516   40.968  451.3   5.48
  19 728538.0  -126.514   40.957  447.7   5.47
  19 728538.5  -126.515   40.947  445.9   5.46
  19 728539.0  -126.518   40.938  446.2   5.44
  19 728539.5  -126.522   40.928  446.7   5.43
  19 728540.0  -126.525   40.917  447.2   5.43
  19 728540.5  -126.527   40.907  447.4   5.44
  19 728541.0  -126.530   40.899  447.1   5.44
  19 728541.5  -126.532   40.895  447.6   5.45
  19 728542.0  -126.535   40.890  449.0   5.45
  19 728542.5  -126.541   40.883  447.3   5.44
  19 728543.0  -126.548   40.877  442.3   5.43
  19 728543.5  -126.550   40.871  444.4   5.40
  19 728544.0  -126.549   40.868  454.1   5.37
  19 728544.5  -126.546   40.866  462.5   5.36
  19 728545.0  -126.542   40.865  469.6   5.37
  19 728545.5  -126.537   40.864  474.0   5.37
  19 728546.0  -126.527   40.865  475.5   5.37
  19 728546.5  -126.515   40.867  478.2   5.37
  19 728547.0  -126.503   40.872  482.3   5.37
  19 728547.5  -126.491   40.879  484.1   5.37
  19 728548.0  -126.479   40.887  483.6   5.37
  19 728548.5  -126.463   40.896  483.6   5.37
