a	b	c	d	e	f	g	h	i	j
5	62	1	1	78	7	8	603	1	0
5	63	1	1	66	6	6	524	1	0
5	1	2	5	92	9	2	875	2	0
5	2	2	5	38	3	8	587	1	0
5	3	2	5	61	6	1	748	2	0
5	4	2	5	83	8	3	604	2	0
5	5	2	5	91	9	1	524	2	0
5	6	2	5	93	9	3	476	2	0
5	7	2	5	26	2	6	629	1	0
5	8	2	5	16	1	6	628	1	0
5	9	2	5	27	2	7	676	1	0
5	10	2	5	37	3	7	539	1	0
5	11	2	5	63	6	3	763	2	0
5	12	2	5	29	2	9	523	1	0
5	13	2	5	46	4	6	611	1	0
5	14	2	5	82	8	2	755	2	0
5	15	2	5	48	4	8	643	1	0
5	16	2	5	18	1	8	531	1	0
5	17	2	5	81	8	1	492	2	0
5	18	2	5	71	7	1	444	2	0
5	19	2	5	17	1	7	540	1	0
5	20	2	5	39	3	9	524	1	0
5	21	2	5	72	7	2	588	2	0
5	22	2	5	36	3	6	620	1	0
5	23	2	5	94	9	4	893	1	1
5	24	2	5	19	1	9	723	1	0
5	25	2	5	64	6	4	827	2	0
5	26	2	5	49	4	9	627	1	0
5	27	2	5	84	8	4	603	1	1
5	28	2	5	47	4	7	659	1	0
5	29	2	5	62	6	2	435	2	0
5	30	2	5	74	7	4	531	1	1
5	31	2	5	73	7	3	532	2	0
5	1	2	4	43	4	3	604	2	0
5	2	2	4	89	8	9	452	2	1
5	3	2	4	13	1	3	579	2	0
5	4	2	4	68	6	8	459	1	0
5	5	2	4	42	4	2	619	2	0
5	6	2	4	98	9	8	499	1	0
5	7	2	4	33	3	3	579	2	0
5	8	2	4	87	8	7	459	1	0
5	9	2	4	11	1	1	500	2	0
5	10	2	4	96	9	6	468	1	0
5	11	2	4	24	2	4	524	1	1
5	12	2	4	34	3	4	572	2	0
5	13	2	4	12	1	2	508	2	0
5	14	2	4	77	7	7	460	1	0
5	15	2	4	22	2	2	556	2	0
5	16	2	4	44	4	4	628	2	0
5	17	2	4	79	7	9	811	1	0
5	18	2	4	23	2	3	1035	1	1
5	19	2	4	32	3	2	556	2	0
5	20	2	4	14	1	4	459	2	0
5	21	2	4	99	9	9	595	1	0
5	22	2	4	41	4	1	643	2	0
5	23	2	4	69	6	9	531	1	0
5	24	2	4	97	9	7	420	1	0
5	25	2	4	86	8	6	964	1	0
5	26	2	4	67	6	7	644	1	0
5	27	2	4	31	3	1	668	2	0
5	28	2	4	21	2	1	444	2	0
5	29	2	4	76	7	6	524	1	0
5	30	2	4	88	8	8	587	1	0
5	31	2	4	66	6	6	459	1	0
5	1	2	1	23	2	3	531	2	0
5	2	2	1	87	8	7	588	1	0
5	3	2	1	36	3	6	900	1	0
5	4	2	1	19	1	9	492	1	0
5	5	2	1	93	9	3	508	1	1
5	6	2	1	21	2	1	524	2	0
5	7	2	1	18	1	8	596	1	0
5	8	2	1	39	3	9	484	2	1
5	9	2	1	67	6	7	483	1	0
5	10	2	1	79	7	9	491	1	0
5	11	2	1	42	4	2	619	2	0
5	12	2	1	43	4	3	779	2	0
5	13	2	1	61	6	1	523	2	0
5	14	2	1	48	4	8	675	1	0
5	15	2	1	97	9	7	540	1	0
5	16	2	1	38	3	8	716	1	0
5	17	2	1	74	7	4	532	1	1
5	18	2	1	29	2	9	668	1	0
5	19	2	1	49	4	9	540	1	0
5	20	2	1	71	7	1	436	2	0
5	21	2	1	86	8	6	444	1	0
5	22	2	1	73	7	3	492	2	0
5	23	2	1	24	2	4	707	2	0
5	24	2	1	33	3	3	539	2	0
5	25	2	1	82	8	2	483	2	0
5	26	2	1	91	9	1	483	2	0
5	27	2	1	17	1	7	627	1	0
5	28	2	1	77	7	7	595	1	0
5	29	2	1	46	4	6	595	1	0
5	30	2	1	76	7	6	731	1	0
5	31	2	1	22	2	2	709	2	0
5	32	2	1	64	6	4	668	2	0
5	33	2	1	62	6	2	484	2	0
5	34	2	1	66	6	6	564	1	0
5	35	2	1	28	2	8	572	1	0
5	36	2	1	16	1	6	620	1	0
5	37	2	1	11	1	1	651	2	0
5	38	2	1	34	3	4	555	2	0
5	39	2	1	41	4	1	451	2	0
5	40	2	1	63	6	3	491	2	0
5	41	2	1	68	6	8	651	1	0
5	42	2	1	37	3	7	547	1	0
5	43	2	1	84	8	4	467	1	1
5	44	2	1	96	9	6	507	1	0
5	45	2	1	69	6	9	516	1	0
5	46	2	1	31	3	1	500	2	0
5	47	2	1	32	3	2	477	2	0
5	48	2	1	92	9	2	508	2	0
5	49	2	1	83	8	3	444	2	0
5	50	2	1	72	7	2	476	2	0
5	51	2	1	27	2	7	692	1	0
5	52	2	1	81	8	1	563	2	0
5	53	2	1	78	7	8	483	1	0
5	54	2	1	14	1	4	619	2	0
5	55	2	1	44	4	4	459	2	0
5	56	2	1	12	1	2	595	2	0
5	57	2	1	13	1	3	483	2	0
5	58	2	1	89	8	9	603	1	0
5	59	2	1	98	9	8	443	1	0
5	60	2	1	99	9	9	532	1	0
5	61	2	1	47	4	7	428	1	0
5	62	2	1	88	8	8	436	1	0
5	63	2	1	26	2	6	372	1	0
5	1	2	2	26	2	6	555	1	0
5	2	2	2	43	4	3	523	2	0
5	3	2	2	37	3	7	475	1	0
5	4	2	2	48	4	8	483	1	0
5	5	2	2	14	1	4	427	1	1
5	6	2	2	33	3	3	811	2	0
5	7	2	2	32	3	2	435	2	0
5	8	2	2	19	1	9	580	1	0
5	9	2	2	41	4	1	636	2	0
5	10	2	2	12	1	2	580	2	0
5	11	2	2	23	2	3	476	2	0
5	12	2	2	22	2	2	460	2	0
5	13	2	2	38	3	8	565	1	0
5	14	2	2	34	3	4	628	2	0
5	15	2	2	47	4	7	419	1	0
5	16	2	2	18	1	8	539	1	0
5	17	2	2	31	3	1	595	2	0
5	18	2	2	16	1	6	547	1	0
5	19	2	2	42	4	2	683	2	0
5	20	2	2	49	4	9	451	1	0
5	21	2	2	28	2	8	579	1	0
5	22	2	2	36	3	6	396	1	0
5	23	2	2	27	2	7	452	1	0
5	24	2	2	13	1	3	524	2	0
5	25	2	2	39	3	9	412	2	1
5	26	2	2	21	2	1	980	2	0
5	27	2	2	17	1	7	436	1	0
5	28	2	2	44	4	4	692	2	0
5	29	2	2	24	2	4	363	1	1
5	30	2	2	29	2	9	420	2	1
5	31	2	2	11	1	1	571	2	0
5	1	2	3	82	8	2	524	2	0
5	2	2	3	91	9	1	508	2	0
5	3	2	3	62	6	2	524	2	0
5	4	2	3	69	6	9	500	1	0
5	5	2	3	73	7	3	548	2	0
5	6	2	3	99	9	9	500	1	0
5	7	2	3	61	6	1	484	2	0
5	8	2	3	77	7	7	443	1	0
5	9	2	3	92	9	2	691	2	0
5	10	2	3	94	9	4	563	2	0
5	11	2	3	63	6	3	492	2	0
5	12	2	3	97	9	7	483	1	0
5	13	2	3	89	8	9	851	1	0
5	14	2	3	79	7	9	491	1	0
5	15	2	3	84	8	4	539	1	1
5	16	2	3	72	7	2	548	2	0
5	17	2	3	74	7	4	548	2	0
5	18	2	3	81	8	1	436	2	0
5	19	2	3	64	6	4	644	1	1
5	20	2	3	76	7	6	524	2	1
5	21	2	3	67	6	7	628	1	0
5	22	2	3	88	8	8	508	1	0
5	23	2	3	96	9	6	515	1	0
5	24	2	3	78	7	8	443	1	0
5	25	2	3	68	6	8	403	1	0
5	26	2	3	83	8	3	371	1	1
5	27	2	3	86	8	6	627	1	0
5	28	2	3	87	8	7	516	1	0
5	29	2	3	98	9	8	507	1	0
5	30	2	3	93	9	3	604	2	0
5	31	2	3	71	7	1	572	2	0
5	1	2	1	16	1	6	644	1	0
5	2	2	1	47	4	7	500	1	0
5	3	2	1	78	7	8	724	1	0
5	4	2	1	43	4	3	684	2	0
5	5	2	1	87	8	7	556	1	0
5	6	2	1	99	9	9	500	2	1
5	7	2	1	69	6	9	756	1	0
5	8	2	1	71	7	1	740	2	0
5	9	2	1	96	9	6	459	1	0
5	10	2	1	39	3	9	619	1	0
5	11	2	1	68	6	8	539	1	0
5	12	2	1	77	7	7	443	1	0
5	13	2	1	23	2	3	547	1	1
5	14	2	1	48	4	8	555	1	0
5	15	2	1	29	2	9	467	2	1
5	16	2	1	49	4	9	515	1	0
5	17	2	1	17	1	7	541	1	0
5	18	2	1	33	3	3	652	2	0
5	19	2	1	32	3	2	548	1	1
5	20	2	1	42	4	2	724	2	0
5	21	2	1	11	1	1	468	2	0
5	22	2	1	19	1	9	420	2	1
5	23	2	1	61	6	1	652	2	0
5	24	2	1	97	9	7	475	1	0
5	25	2	1	88	8	8	571	1	0
5	26	2	1	12	1	2	643	2	0
5	27	2	1	38	3	8	491	1	0
5	28	2	1	27	2	7	675	1	0
5	29	2	1	73	7	3	587	2	0
5	30	2	1	64	6	4	523	2	0
5	31	2	1	36	3	6	563	2	1
5	32	2	1	22	2	2	444	1	1
5	33	2	1	72	7	2	613	2	0
5	34	2	1	63	6	3	548	2	0
5	35	2	1	93	9	3	564	2	0
5	36	2	1	74	7	4	492	2	0
5	37	2	1	83	8	3	596	2	0
5	38	2	1	67	6	7	668	1	0
5	39	2	1	86	8	6	651	1	0
5	40	2	1	84	8	4	475	1	1
5	41	2	1	18	1	8	715	1	0
5	42	2	1	76	7	6	491	1	0
5	43	2	1	24	2	4	555	2	0
5	44	2	1	28	2	8	523	1	0
5	45	2	1	94	9	4	667	2	0
5	46	2	1	34	3	4	516	2	0
5	47	2	1	21	2	1	484	2	0
5	48	2	1	81	8	1	499	2	0
5	49	2	1	14	1	4	436	2	0
5	50	2	1	66	6	6	565	1	0
5	51	2	1	26	2	6	524	1	0
5	52	2	1	79	7	9	500	1	0
5	53	2	1	89	8	9	411	1	0
5	54	2	1	46	4	6	483	1	0
5	55	2	1	98	9	8	387	1	0
5	56	2	1	44	4	4	371	1	1
5	57	2	1	92	9	2	643	2	0
5	58	2	1	13	1	3	459	2	0
5	59	2	1	31	3	1	427	2	0
5	60	2	1	41	4	1	491	2	0
5	61	2	1	91	9	1	404	2	0
5	62	2	1	62	6	2	748	2	0
5	63	2	1	37	3	7	564	1	0
5	1	2	2	29	2	9	611	1	0
5	2	2	2	43	4	3	491	2	0
5	3	2	2	37	3	7	595	1	0
5	4	2	2	24	2	4	491	1	1
5	5	2	2	21	2	1	611	2	0
5	6	2	2	41	4	1	435	2	0
5	7	2	2	18	1	8	556	1	0
5	8	2	2	44	4	4	564	2	0
5	9	2	2	42	4	2	492	2	0
5	10	2	2	27	2	7	596	1	0
5	11	2	2	28	2	8	604	1	0
5	12	2	2	33	3	3	556	2	0
5	13	2	2	39	3	9	500	1	0
5	14	2	2	17	1	7	579	1	0
5	15	2	2	16	1	6	924	1	0
5	16	2	2	32	3	2	731	2	0
5	17	2	2	12	1	2	427	2	0
5	18	2	2	48	4	8	715	1	0
5	19	2	2	14	1	4	587	2	0
5	20	2	2	38	3	8	491	1	0
5	21	2	2	31	3	1	459	2	0
5	22	2	2	49	4	9	468	1	0
5	23	2	2	23	2	3	612	2	0
5	24	2	2	26	2	6	468	1	0
5	25	2	2	22	2	2	540	2	0
5	26	2	2	13	1	3	532	2	0
5	27	2	2	46	4	6	524	1	0
5	28	2	2	47	4	7	692	1	0
5	29	2	2	19	1	9	547	1	0
5	30	2	2	11	1	1	507	2	0
5	31	2	2	36	3	6	580	1	0
5	1	2	3	92	9	2	772	2	0
5	2	2	3	72	7	2	436	2	0
5	3	2	3	94	9	4	492	2	0
5	4	2	3	73	7	3	508	2	0
5	5	2	3	78	7	8	468	2	1
5	6	2	3	96	9	6	532	1	0
5	7	2	3	66	6	6	524	1	0
5	8	2	3	62	6	2	635	2	0
5	9	2	3	67	6	7	443	1	0
5	10	2	3	74	7	4	451	2	0
5	11	2	3	88	8	8	507	1	0
5	12	2	3	64	6	4	580	2	0
5	13	2	3	61	6	1	515	2	0
5	14	2	3	97	9	7	611	1	0
5	15	2	3	93	9	3	524	2	0
5	16	2	3	81	8	1	484	2	0
5	17	2	3	69	6	9	596	1	0
5	18	2	3	84	8	4	564	2	0
5	19	2	3	82	8	2	828	2	0
5	20	2	3	87	8	7	668	1	0
5	21	2	3	76	7	6	716	1	0
5	22	2	3	91	9	1	587	2	0
5	23	2	3	63	6	3	659	1	1
5	24	2	3	68	6	8	467	1	0
5	25	2	3	83	8	3	475	2	0
5	26	2	3	77	7	7	579	1	0
5	27	2	3	98	9	8	739	2	1
5	28	2	3	89	8	9	436	1	0
5	29	2	3	71	7	1	540	2	0
5	30	2	3	86	8	6	676	1	0
5	31	2	3	79	7	9	492	1	0
5	1	2	5	36	3	6	499	1	0
5	2	2	5	26	2	6	547	1	0
5	3	2	5	72	7	2	395	1	1
5	4	2	5	64	6	4	555	1	1
5	5	2	5	47	4	7	379	2	1
5	6	2	5	19	1	9	611	1	0
5	7	2	5	28	2	8	723	1	0
5	8	2	5	73	7	3	629	2	0
5	9	2	5	83	8	3	556	2	0
5	10	2	5	62	6	2	508	1	1
5	11	2	5	46	4	6	628	1	0
5	12	2	5	16	1	6	652	1	0
5	13	2	5	27	2	7	484	2	1
5	14	2	5	74	7	4	804	2	0
5	15	2	5	91	9	1	555	2	0
5	16	2	5	81	8	1	547	2	0
5	17	2	5	49	4	9	515	1	0
5	18	2	5	93	9	3	579	2	0
5	19	2	5	37	3	7	635	1	0
5	20	2	5	94	9	4	587	2	0
5	21	2	5	29	2	9	483	1	0
5	22	2	5	48	4	8	756	1	0
5	23	2	5	39	3	9	492	1	0
5	24	2	5	82	8	2	549	2	0
5	25	2	5	63	6	3	1892	2	0
5	26	2	5	84	8	4	716	2	0
5	27	2	5	92	9	2	476	2	0
5	28	2	5	18	1	8	443	2	1
5	29	2	5	71	7	1	595	2	0
5	30	2	5	38	3	8	755	1	0
5	31	2	5	61	6	1	1083	2	0
5	1	2	4	88	8	8	652	1	0
5	2	2	4	89	8	9	597	1	0
5	3	2	4	23	2	3	628	2	0
5	4	2	4	42	4	2	612	2	0
5	5	2	4	34	3	4	507	2	0
5	6	2	4	24	2	4	459	2	0
5	7	2	4	86	8	6	515	1	0
5	8	2	4	33	3	3	507	2	0
5	9	2	4	66	6	6	467	1	0
5	10	2	4	97	9	7	435	1	0
5	11	2	4	77	7	7	483	1	0
5	12	2	4	14	1	4	555	2	0
5	13	2	4	12	1	2	516	2	0
5	14	2	4	22	2	2	596	2	0
5	15	2	4	32	3	2	452	2	0
5	16	2	4	99	9	9	636	1	0
5	17	2	4	11	1	1	452	2	0
5	18	2	4	41	4	1	564	2	0
5	19	2	4	13	1	3	637	1	1
5	20	2	4	31	3	1	540	2	0
5	21	2	4	67	6	7	507	1	0
5	22	2	4	69	6	9	643	1	0
5	23	2	4	96	9	6	555	1	0
5	24	2	4	87	8	7	371	1	0
5	25	2	4	79	7	9	364	1	0
5	26	2	4	21	2	1	579	2	0
5	27	2	4	68	6	8	587	1	0
5	28	2	4	78	7	8	524	1	0
5	29	2	4	43	4	3	572	2	0
5	30	2	4	76	7	6	556	1	0
5	31	2	4	98	9	8	564	1	0
5	1	1	1	11	1	1	515	2	0
5	2	1	1	19	1	9	508	2	0
5	3	1	1	42	4	2	804	2	0
5	4	1	1	39	3	9	452	2	0
5	5	1	1	33	3	3	476	2	0
5	6	1	1	99	9	9	556	1	0
5	7	1	1	12	1	2	588	2	0
5	8	1	1	37	3	7	660	2	0
5	9	1	1	24	2	4	532	2	0
5	10	1	1	26	2	6	475	2	0
5	11	1	1	82	8	2	652	1	0
5	12	1	1	77	7	7	531	1	0
5	13	1	1	78	7	8	531	1	0
5	14	1	1	68	6	8	507	1	0
5	15	1	1	87	8	7	619	1	0
5	16	1	1	67	6	7	419	1	0
5	17	1	1	91	9	1	484	1	0
5	18	1	1	41	4	1	716	2	0
5	19	1	1	97	9	7	668	1	0
5	20	1	1	79	7	9	900	1	0
5	21	1	1	47	4	7	692	2	0
5	22	1	1	61	6	1	452	1	0
5	23	1	1	76	7	6	691	1	0
5	24	1	1	32	3	2	539	2	0
5	25	1	1	66	6	6	587	1	0
5	26	1	1	69	6	9	555	1	0
5	27	1	1	94	9	4	556	1	0
5	28	1	1	49	4	9	603	2	0
5	29	1	1	86	8	6	555	1	0
5	30	1	1	23	2	3	723	2	0
5	31	1	1	27	2	7	508	1	1
5	32	1	1	84	8	4	508	1	0
5	33	1	1	38	3	8	484	2	0
5	34	1	1	92	9	2	564	1	0
5	35	1	1	72	7	2	796	1	0
5	36	1	1	43	4	3	820	2	0
5	37	1	1	36	3	6	843	2	0
5	38	1	1	93	9	3	731	1	0
5	39	1	1	44	4	4	523	2	0
5	40	1	1	98	9	8	659	1	0
5	41	1	1	96	9	6	507	1	0
5	42	1	1	34	3	4	619	2	0
5	43	1	1	48	4	8	572	1	1
5	44	1	1	21	2	1	564	2	0
5	45	1	1	62	6	2	556	1	0
5	46	1	1	18	1	8	468	2	0
5	47	1	1	74	7	4	596	1	0
5	48	1	1	63	6	3	500	1	0
5	49	1	1	16	1	6	516	2	0
5	50	1	1	13	1	3	452	2	0
5	51	1	1	89	8	9	564	1	0
5	52	1	1	73	7	3	579	1	0
5	53	1	1	83	8	3	523	2	1
5	54	1	1	17	1	7	747	2	0
5	55	1	1	71	7	1	667	1	0
5	56	1	1	22	2	2	635	2	0
5	57	1	1	29	2	9	539	2	0
5	58	1	1	81	8	1	563	1	0
5	59	1	1	46	4	6	668	2	0
5	60	1	1	64	6	4	516	1	0
5	61	1	1	28	2	8	708	2	0
5	62	1	1	14	1	4	540	2	0
5	63	1	1	88	8	8	604	1	0
5	1	1	2	13	1	3	467	2	0
5	2	1	2	14	1	4	491	2	0
5	3	1	2	81	8	1	499	1	0
5	4	1	2	61	6	1	451	1	0
5	5	1	2	62	6	2	516	1	0
5	6	1	2	44	4	4	588	2	0
5	7	1	2	72	7	2	621	1	0
5	8	1	2	74	7	4	484	1	0
5	9	1	2	32	3	2	556	1	1
5	10	1	2	92	9	2	692	1	0
5	11	1	2	21	2	1	524	2	0
5	12	1	2	11	1	1	484	1	1
5	13	1	2	82	8	2	779	1	0
5	14	1	2	43	4	3	875	2	0
5	15	1	2	33	3	3	491	2	0
5	16	1	2	41	4	1	379	2	0
5	17	1	2	24	2	4	387	2	0
5	18	1	2	93	9	3	523	1	0
5	19	1	2	34	3	4	620	2	0
5	20	1	2	64	6	4	540	1	0
5	21	1	2	91	9	1	612	1	0
5	22	1	2	42	4	2	532	2	0
5	23	1	2	22	2	2	501	2	0
5	24	1	2	84	8	4	420	2	1
5	25	1	2	23	2	3	540	2	0
5	26	1	2	31	3	1	444	2	0
5	27	1	2	63	6	3	524	1	0
5	28	1	2	94	9	4	451	1	0
5	29	1	2	12	1	2	491	2	0
5	30	1	2	73	7	3	451	1	0
5	31	1	2	71	7	1	531	1	0
5	1	1	3	77	7	7	500	1	0
5	2	1	3	38	3	8	372	1	1
5	3	1	3	67	6	7	484	1	0
5	4	1	3	39	3	9	532	2	0
5	5	1	3	28	2	8	533	2	0
5	6	1	3	79	7	9	604	1	0
5	7	1	3	87	8	7	523	1	0
5	8	1	3	78	7	8	515	1	0
5	9	1	3	29	2	9	571	2	0
5	10	1	3	66	6	6	587	1	0
5	11	1	3	48	4	8	515	2	0
5	12	1	3	69	6	9	667	1	0
5	13	1	3	49	4	9	667	2	0
5	14	1	3	19	1	9	556	2	0
5	15	1	3	37	3	7	628	2	0
5	16	1	3	47	4	7	676	2	0
5	17	1	3	68	6	8	524	1	0
5	18	1	3	96	9	6	548	1	0
5	19	1	3	86	8	6	700	1	0
5	20	1	3	26	2	6	644	2	0
5	21	1	3	17	1	7	556	2	0
5	22	1	3	99	9	9	587	1	0
5	23	1	3	97	9	7	579	1	0
5	24	1	3	18	1	8	483	2	0
5	25	1	3	98	9	8	571	1	0
5	26	1	3	89	8	9	755	1	0
5	27	1	3	16	1	6	515	2	0
5	28	1	3	76	7	6	428	2	1
5	29	1	3	36	3	6	548	1	1
5	30	1	3	46	4	6	548	1	1
5	31	1	3	27	2	7	524	2	0
5	1	1	4	98	9	8	708	2	1
5	2	1	4	33	3	3	451	2	0
5	3	1	4	77	7	7	387	1	0
5	4	1	4	89	8	9	491	1	0
5	5	1	4	22	2	2	507	2	0
5	6	1	4	88	8	8	508	1	0
5	7	1	4	78	7	8	524	1	0
5	8	1	4	97	9	7	444	1	0
5	9	1	4	67	6	7	540	1	0
5	10	1	4	69	6	9	476	1	0
5	11	1	4	24	2	4	604	2	0
5	12	1	4	44	4	4	492	1	1
5	13	1	4	12	1	2	572	2	0
5	14	1	4	23	2	3	779	2	0
5	15	1	4	21	2	1	371	2	0
5	16	1	4	13	1	3	491	2	0
5	17	1	4	96	9	6	403	2	1
5	18	1	4	68	6	8	460	1	0
5	19	1	4	34	3	4	651	2	0
5	20	1	4	99	9	9	427	1	0
5	21	1	4	14	1	4	587	2	0
5	22	1	4	76	7	6	540	1	0
5	23	1	4	79	7	9	524	1	0
5	24	1	4	11	1	1	572	2	0
5	25	1	4	43	4	3	476	1	1
5	26	1	4	87	8	7	508	1	0
5	27	1	4	31	3	1	476	2	0
5	28	1	4	42	4	2	484	2	0
5	29	1	4	86	8	6	604	1	0
5	30	1	4	66	6	6	995	1	0
5	31	1	4	41	4	1	667	2	0
5	1	1	5	91	9	1	596	1	0
5	2	1	5	18	1	8	500	2	0
5	3	1	5	73	7	3	580	1	0
5	4	1	5	74	7	4	676	1	0
5	5	1	5	17	1	7	548	2	0
5	6	1	5	92	9	2	508	2	1
5	7	1	5	39	3	9	540	2	0
5	8	1	5	71	7	1	467	1	0
5	9	1	5	38	3	8	579	2	0
5	10	1	5	27	2	7	467	2	0
5	11	1	5	84	8	4	435	1	0
5	12	1	5	48	4	8	531	2	0
5	13	1	5	94	9	4	459	1	0
5	14	1	5	61	6	1	459	2	1
5	15	1	5	93	9	3	533	1	0
5	16	1	5	16	1	6	652	2	0
5	17	1	5	63	6	3	620	1	0
5	18	1	5	28	2	8	444	1	1
5	19	1	5	81	8	1	460	1	0
5	20	1	5	72	7	2	436	2	1
5	21	1	5	62	6	2	484	1	0
5	22	1	5	37	3	7	428	2	0
5	23	1	5	49	4	9	395	2	0
5	24	1	5	64	6	4	387	1	0
5	25	1	5	29	2	9	579	2	0
5	26	1	5	83	8	3	435	1	0
5	27	1	5	46	4	6	539	2	0
5	28	1	5	19	1	9	555	2	0
5	29	1	5	26	2	6	427	1	1
5	30	1	5	36	3	6	515	2	0
5	31	1	5	82	8	2	412	2	1
6	1	2	1	94	9	4	899	1	1
6	2	2	1	92	9	2	1339	1	1
6	3	2	1	44	4	4	836	2	0
6	4	2	1	16	1	6	1108	2	1
6	5	2	1	66	6	6	1372	1	0
6	6	2	1	91	9	1	820	1	1
6	7	2	1	49	4	9	2947	1	0
6	8	2	1	82	8	2	1076	2	0
6	9	2	1	99	9	9	2027	1	0
6	10	2	1	46	4	6	883	1	0
6	11	2	1	89	8	9	756	1	0
6	12	2	1	78	7	8	868	1	0
6	13	2	1	73	7	3	820	2	0
6	14	2	1	97	9	7	1380	1	0
6	15	2	1	72	7	2	788	2	0
6	16	2	1	12	1	2	867	2	0
6	17	2	1	27	2	7	891	1	0
6	18	2	1	77	7	7	2180	1	0
6	19	2	1	24	2	4	1115	2	0
6	20	2	1	32	3	2	867	2	0
6	21	2	1	71	7	1	803	2	0
6	22	2	1	62	6	2	652	2	0
6	23	2	1	64	6	4	788	2	0
6	24	2	1	17	1	7	916	1	0
6	25	2	1	22	2	2	1036	2	0
6	26	2	1	61	6	1	932	2	0
6	27	2	1	79	7	9	1011	1	0
6	28	2	1	76	7	6	811	1	0
6	29	2	1	19	1	9	867	1	0
6	30	2	1	81	8	1	2404	2	0
6	31	2	1	28	2	8	907	1	0
6	32	2	1	42	4	2	652	2	0
6	33	2	1	31	3	1	1764	2	0
6	34	2	1	93	9	3	980	2	0
6	35	2	1	69	6	9	2315	1	0
6	36	2	1	67	6	7	787	1	0
6	37	2	1	21	2	1	619	2	0
6	38	2	1	36	3	6	947	1	0
6	39	2	1	68	6	8	596	1	0
6	40	2	1	88	8	8	723	1	0
6	41	2	1	33	3	3	819	2	0
6	42	2	1	48	4	8	1285	1	0
6	43	2	1	26	2	6	668	1	0
6	44	2	1	41	4	1	940	2	0
6	45	2	1	84	8	4	764	2	0
6	46	2	1	98	9	8	492	1	0
6	47	2	1	13	1	3	572	2	0
6	48	2	1	34	3	4	627	2	0
6	49	2	1	14	1	4	627	2	0
6	50	2	1	29	2	9	579	1	0
6	51	2	1	38	3	8	515	1	0
6	52	2	1	43	4	3	523	2	0
6	53	2	1	11	1	1	491	2	0
6	54	2	1	18	1	8	444	1	0
6	55	2	1	47	4	7	1508	1	0
6	56	2	1	37	3	7	749	1	0
6	57	2	1	96	9	6	588	1	0
6	58	2	1	83	8	3	980	2	0
6	59	2	1	87	8	7	628	1	0
6	60	2	1	86	8	6	923	1	0
6	61	2	1	74	7	4	843	2	0
6	62	2	1	63	6	3	835	2	0
6	63	2	1	23	2	3	771	2	0
6	1	2	3	79	7	9	804	1	0
6	2	2	3	93	9	3	756	2	0
6	3	2	3	84	8	4	1091	2	0
6	4	2	3	72	7	2	739	2	0
6	5	2	3	61	6	1	939	2	0
6	6	2	3	97	9	7	779	1	0
6	7	2	3	91	9	1	1155	2	0
6	8	2	3	69	6	9	763	1	0
6	9	2	3	77	7	7	1316	1	0
6	10	2	3	98	9	8	588	1	0
6	11	2	3	96	9	6	884	1	0
6	12	2	3	82	8	2	773	2	0
6	13	2	3	71	7	1	748	2	0
6	14	2	3	88	8	8	1139	1	0
6	15	2	3	87	8	7	515	1	0
6	16	2	3	86	8	6	619	1	0
6	17	2	3	92	9	2	835	2	0
6	18	2	3	63	6	3	947	2	0
6	19	2	3	78	7	8	675	1	0
6	20	2	3	76	7	6	900	1	0
6	21	2	3	68	6	8	500	1	0
6	22	2	3	64	6	4	892	2	0
6	23	2	3	66	6	6	532	1	0
6	24	2	3	67	6	7	452	1	0
6	25	2	3	89	8	9	444	1	0
6	26	2	3	74	7	4	444	1	1
6	27	2	3	94	9	4	772	2	0
6	28	2	3	81	8	1	715	2	0
6	29	2	3	73	7	3	835	2	0
6	30	2	3	83	8	3	651	2	0
6	31	2	3	62	6	2	667	2	0
6	1	2	2	19	1	9	516	1	0
6	2	2	2	36	3	6	500	1	0
6	3	2	2	23	2	3	508	2	0
6	4	2	2	37	3	7	683	1	0
6	5	2	2	28	2	8	580	1	0
6	6	2	2	43	4	3	723	2	0
6	7	2	2	16	1	6	755	2	1
6	8	2	2	32	3	2	835	2	0
6	9	2	2	18	1	8	699	1	0
6	10	2	2	13	1	3	988	2	0
6	11	2	2	38	3	8	548	1	0
6	12	2	2	27	2	7	636	1	0
6	13	2	2	42	4	2	684	2	0
6	14	2	2	48	4	8	668	1	0
6	15	2	2	47	4	7	1028	1	0
6	16	2	2	14	1	4	804	2	0
6	17	2	2	11	1	1	779	2	0
6	18	2	2	24	2	4	963	2	0
6	19	2	2	39	3	9	876	1	0
6	20	2	2	33	3	3	1875	2	0
6	21	2	2	17	1	7	731	1	0
6	22	2	2	26	2	6	900	1	0
6	23	2	2	29	2	9	532	1	0
6	24	2	2	34	3	4	500	2	0
6	25	2	2	46	4	6	644	1	0
6	26	2	2	41	4	1	532	2	0
6	27	2	2	21	2	1	572	2	0
6	28	2	2	22	2	2	723	2	0
6	29	2	2	31	3	1	1059	2	0
6	30	2	2	12	1	2	1155	2	0
6	31	2	2	44	4	4	2148	2	0
6	1	2	5	27	2	7	684	1	0
6	2	2	5	94	9	4	868	2	0
6	3	2	5	19	1	9	859	1	0
6	4	2	5	28	2	8	1059	1	0
6	5	2	5	82	8	2	723	2	0
6	6	2	5	84	8	4	1003	2	0
6	7	2	5	49	4	9	723	1	0
6	8	2	5	61	6	1	795	2	0
6	9	2	5	71	7	1	532	2	0
